"","temp","dewp","slp","wdsp","max","min","sndp","NUM_CRIMES"
"114",44.2,23,1017.2,4.2,57,28.9,0,761
"115",43.5,37.2,1010.5,11.3,57,28.9,0,695
"116",44.8,28.7,1014,9.9,55.9,35.1,0,718
"117",46.3,30.2,1018.7,9.8,55.9,35.1,0,721
"118",46.3,33.7,1020,4.5,57.9,35.1,0,719
"119",49.7,34.3,1014.4,5.7,61,35.1,0,766
"120",45.6,33.9,1014.5,10.2,61,37.9,0,666
"122",62.1,38.1,1017.7,5.3,75.9,37.9,0,687
"123",67.4,42.6,1014,7.4,78.1,50,0,745
"124",65.1,54.6,1015.8,8.6,78.1,55,0,779
"125",52.1,45.6,1022.3,7.7,73.9,48,0,697
"126",55.6,50.9,1020.8,5.8,77,46,0,739
"127",66.9,52,1016.7,8.6,82.9,46,0,826
"128",71.1,60.7,1013.3,8.2,82.9,52,0,807
"129",59.5,56.2,1016.8,6.6,81,52,0,685
"130",48.5,45.8,1017.3,8.7,64,45,0,741
"131",56.4,52.7,1012,8.8,68,44.6,0,749
"132",52,39.5,1015.6,16.6,68,46.9,0,757
"133",47.6,34.7,1028.9,8.7,55.9,39.9,0,768
"134",52.2,38.8,1026.9,8.9,66,39.9,0,755
"135",63.2,56.8,1015.4,8.7,75.9,43,0,822
"136",69,62.5,1015.2,4.7,79,57,0,882
"137",72.3,65,1013.3,12.6,82,62.1,0,836
"138",72.1,58.3,1014,13.3,82,63,0,758
"139",50.4,36.9,1021.6,11.4,77,46,0,708
"140",43.5,30.2,1023.9,7.2,53.1,39,0,730
"141",51.8,37.7,1019.2,8.2,69.1,39,0,745
"142",58.8,35.1,1020.2,7.5,69.1,45,0,824
"143",61.8,35.6,1025.5,6.5,80.1,46,0,798
"144",66.1,49.3,1020.2,5.9,80.1,46,0,687
"145",70.4,62.1,1011.6,12.7,78.1,59,0,708
"146",70.6,62.5,1011.7,10.3,78.1,64,0,770
"147",68.4,59.1,1012.5,11,73.9,64,0,738
"148",69.5,54.3,1020.6,4.8,82,54,0,800
"149",72.1,60.3,1015.8,8.9,82,54,0,828
"150",64.4,58.8,1014.7,8.9,80.1,46.4,0,719
"151",47.5,39.5,1021.3,17,54,42.1,0,666
"153",55.5,40.1,1021.8,4.5,70,42.1,0,772
"154",62.3,49.2,1017.7,5.9,77,42.1,0,778
"155",68.2,56.7,1015.3,7.5,81,50,0,721
"156",65.3,56.7,1017.3,9.8,80.1,55.4,0,786
"157",60.1,50,1020.3,9.9,70,51.8,0,758
"158",65.7,57.7,1010.6,9,81,52,0,739
"159",73.1,63.8,1004.9,10.5,84,55,0,682
"160",69.7,56.2,1008.2,7.3,84.9,60.1,0,732
"161",80.2,62.3,1005.5,10.7,91.9,60.1,0,793
"162",68.9,57,1009.9,6.6,75.9,63,0,804
"163",61.5,59,1009.8,7,72,57.9,0,828
"164",66.1,60.5,1013.2,6.2,84.9,55.4,0,813
"165",73.3,67.9,1012.3,6.8,86,55.9,0,795
"166",74.8,69.9,1013,5,82.9,68,0,739
"167",68.6,58.7,1018.3,7.9,80.1,64,0,847
"168",61.3,51,1017.7,4.8,72,55.9,0,722
"169",71.6,65.4,1013.6,7.1,79,55.9,0,768
"170",60.8,50.8,1017.8,10.2,79,54,0,774
"171",62.8,53.5,1012.3,6,78.1,53.1,0,766
"172",73.5,64.7,1010.9,7.6,84,53.1,0,783
"173",75.2,69.2,1012,7.8,84,66,0,780
"174",75.3,59.3,1012.8,9.5,82.9,66,0,732
"175",70.2,56.5,1019.5,4.5,82,60.1,0,728
"176",70.7,64,1015.4,6.3,79,60.1,0,784
"177",63.1,58.8,1015.2,7.7,79,60.1,0,784
"178",64,52.1,1015,9,75.9,55.9,0,723
"179",67.5,51,1012.6,3.2,79,54,0,797
"180",68.1,61.6,1009.1,3.6,79,54,0,752
"181",68.1,61.4,1008.7,6.2,77,62.1,0,749
"182",60.7,52.7,1013.6,6.6,69.1,55.4,0,889
"183",59.3,51.8,1015.5,8.6,69.1,53.1,0,757
"184",64.2,51.9,1014.7,4.4,77,53.1,0,768
"185",69.7,54.4,1014.4,3.5,81,55,0,845
"186",72.4,58.4,1016.8,4,82.9,59,0,898
"187",74.2,64.9,1014.2,7.3,84.9,60.1,0,757
"188",67.3,58.1,1014,13,84.9,57,0,701
"189",59.7,50.2,1018.7,6.8,71.1,54,0,718
"190",63.6,56,1015.1,6.7,77,54,0,672
"191",69,56.5,1018.4,3.5,82.9,57.9,0,739
"192",70.4,57.8,1019.6,4,82.9,59,0,798
"193",73.6,65.6,1015.2,4.5,82.9,61,0,801
"194",75.7,68.2,1007.6,8.7,86,68,0,782
"195",76.2,66.4,1002.7,10,86,68,0,711
"196",65.8,53.1,1014.1,9,82.9,59,0,795
"197",66,56.4,1015.4,6,75,57.9,0,673
"198",77.3,70.9,1007.9,7.9,91.9,57.9,0,825
"199",78.7,71.4,1009.6,6.7,91.9,71.1,0,776
"200",79.4,69.6,1010.8,8.2,89.1,73,0,764
"201",74.5,62,1009.9,6.3,84.9,63,0,778
"202",74.9,58.2,1009.9,8.5,84.9,63,0,777
"203",73.6,55.9,1013.9,4,82.9,64,0,774
"204",74.4,56.6,1015.2,3.5,84.9,63,0,810
"205",75.2,60.1,1015.5,5.1,84.9,63,0,867
"206",79.5,67.1,1012.7,7.5,91,64,0,832
"207",74.7,65.5,1013.7,4.1,91,64,0,802
"208",77.2,64,1014.7,7.2,88,64,0,835
"209",79.4,66.6,1014.5,5.8,91,66.9,0,767
"210",81.3,66,1013.4,8,91,66.9,0,764
"211",77.1,55.3,1016.2,10.2,88,64.9,0,775
"212",78.2,56.4,1015.1,10.9,88,64.9,0,782
"214",79.6,65.4,1009.3,11.7,91,64,0,822
"215",75.7,60.1,1008.3,10,91,66.9,0,729
"216",72.2,53.5,1013.2,7.4,82,61,0,761
"217",72.7,55.6,1016.4,4.6,82,61,0,772
"218",73.3,60.6,1014.6,6.6,82.9,61,0,809
"219",73.2,59.3,1012.6,7,82.9,63,0,839
"220",75.3,62.6,1011.9,6.7,82.9,63,0,849
"221",71.8,65.9,1014.1,4.4,82,66.9,0,745
"222",75.1,67.7,1011.3,4.8,84,66.9,0,809
"223",72.9,62.3,1015.1,6.6,84,64.9,0,791
"224",71.2,56.8,1020.1,3.6,82,61,0,760
"225",73.8,60.4,1018.7,7.9,84.9,61,0,784
"226",78.2,66.1,1017.9,8.5,90,64.9,0,808
"227",76.6,66.7,1018.7,6.1,91.9,66.9,0,826
"228",78.7,69.1,1018.2,5.2,91.9,66.9,0,865
"229",78.6,67.1,1016.3,6.2,89.1,68,0,741
"230",73.6,66.8,1011.2,6.4,88,66.9,0,762
"231",71.7,63.2,1004.9,11.1,82.9,66.9,0,793
"232",64.8,52.9,1008.9,13.6,75,59,0,839
"233",68.7,53,1017.1,6.7,82,55,0,858
"234",72.1,56.7,1018.1,9.3,82,55,0,845
"235",71.5,58.6,1012.3,9.8,81,60.1,0,806
"236",65,49,1013.2,11.5,77,55,0,724
"237",63.4,48.2,1015.5,8.9,75,55,0,767
"238",61.9,52.4,1019.7,6,72,55.9,0,792
"239",63.1,52.3,1021.6,3.6,75.9,51.1,0,764
"240",65.5,56.8,1019.8,4.2,75.9,51.1,0,806
"241",67.6,63.2,1017.2,5.7,72,55.9,0,761
"242",68.4,63.9,1016.9,3.3,77,63,0,800
"243",71,64.2,1016.9,2.8,84.9,60.1,0,745
"245",80.3,69.4,1015.9,7.1,90,68,0,801
"246",81,68.3,1013.2,6.9,91,72,0,875
"247",74.4,66.8,1014.8,5.4,91,68,0,815
"248",75.4,67.3,1017.8,6.1,87.1,68,0,767
"249",79.9,66.6,1017.3,7.9,91.9,69.1,0,818
"250",81.5,66.9,1014.4,7.3,91.9,70,0,808
"251",77,69.6,1011.5,6.5,88,70,0,717
"252",70.2,60.4,1013.8,6.5,81,66,0,711
"253",64,56,1014.2,4,77,54,0,659
"254",61.9,56.5,1014.2,8.2,73.9,54,0,691
"255",57.6,45.8,1017.1,10,66.9,52,0,724
"256",58.1,44.5,1016.8,6.2,70,48,0,734
"257",65.3,48.8,1016.4,9.2,82,48,0,791
"258",72.9,53.9,1020.5,11.2,82,52,0,813
"259",70.5,52.8,1021.8,9.7,82.9,55.9,0,766
"260",71.7,58.5,1016.6,9.7,84.9,55.9,0,717
"261",72,67.2,1010.1,7.4,84.9,61,0,791
"262",65.5,57.4,1012.8,9.7,73.9,57,0,792
"263",60.4,48.6,1020.9,2.6,73,50,0,811
"264",62.1,49.4,1020.3,4.6,73.9,50,0,735
"265",64.6,51.5,1020.9,3.3,80.1,52,0,777
"266",68.2,52.1,1023.6,3.4,80.1,53.1,0,833
"267",66.7,56.6,1024,4.6,80.1,55.9,0,718
"268",65.5,59.6,1023.7,7.2,75.9,55.9,0,811
"269",67,58.5,1023.5,6.9,75,60.1,0,792
