"","temp","dewp","slp","wdsp","max","min","sndp","NUM_CRIMES"
"478",51.2,44,1013.8,9.5,70,44.1,0,731
"479",47.6,37.8,1021.4,7.2,60.1,37.9,0,694
"480",56.2,42.6,1015.5,6.9,78.1,37.9,0,756
"481",69,52,1006.7,10.7,81,57.9,0,758
"482",53.4,46,1008.1,11.1,82.9,42.1,0,693
"483",44,38.4,1013.2,12.6,46.9,41,0,661
"484",44.9,40.7,1011.8,10.1,50,41,0,731
"485",44.3,39.9,1018.1,7.6,51.1,41,0,719
"486",44.8,39.9,1017.8,10.3,51.1,42.1,0,605
"487",45.2,43.6,1015,11.8,48.9,42.1,0,820
"488",49.3,38.7,1017,10.7,59,42.1,0,757
"489",52.8,36,1014,6.1,66.9,39.9,0,735
"490",52.3,40.3,1007.4,11.1,66.9,39.9,0,682
"491",48.8,36.7,1014,11.4,61,41,0,701
"492",59.2,41.2,1013.8,5.2,82,41,0,794
"493",64.6,42.6,1007.9,12.3,82,42.1,0,742
"494",55,31.3,1012.7,4.1,71.1,41,0,729
"495",55.9,43.4,1014.2,10.1,71.1,41,0,732
"496",54.2,52.9,1011.9,9.5,63,50,0,713
"497",58.2,55.3,1015.2,5.7,69.1,51.1,0,758
"498",61.2,56.3,1013.3,7.7,70,51.1,0,690
"499",57.6,44.5,1014.6,10.1,70,48,0,808
"500",46.3,37,1014.4,12,66,41,0,723
"501",45,28.4,1019,8.5,55,35.1,0,739
"502",55.7,34.6,1019.3,10.7,70,35.1,0,782
"503",54.3,41.7,1021.8,9.4,70,46,0,692
"504",52,36.4,1023.6,7.1,64.9,41,0,801
"505",55.2,35.1,1022.8,3.9,69.1,39,0,764
"506",58.5,37.3,1021.1,5.6,69.1,39,0,805
"507",62.5,35.9,1019.2,8.3,75,44.1,0,792
"508",66.2,41.2,1018,6.4,77,53.1,0,750
"509",66.1,43.9,1015.7,5.7,81,48,0,782
"510",71.9,46.9,1013.8,9.3,86,48,0,803
"511",75.9,59.7,1014.2,8.2,86,60.1,0,721
"512",71.1,64.1,1012,8.2,86,62.1,0,767
"513",74.2,64.9,1010.9,8.1,82.9,62.1,0,800
"514",73,64.9,1011.1,12.8,81,66,0,791
"515",71.8,61.1,1014.3,11.6,81,63,0,798
"516",74.5,57.5,1015.3,5.6,87.1,63,0,820
"517",72.6,56.4,1014.7,7.7,87.1,63,0,756
"518",68.1,62.4,1013.5,5.6,82.9,63,0,937
"519",70.1,54,1015.2,5.9,79,57,0,800
"520",70.1,53.3,1016.9,3.1,84,55,0,822
"521",68.8,58.4,1011.7,6.9,84,55,0,827
"522",68.2,58.3,1004.5,9.8,79,61,0,777
"523",71.2,54.2,1004.2,10.3,82,59,0,792
"524",63.3,47.9,1008.6,10.3,82,55.9,0,754
"525",60.7,47.3,1014.4,6,70,51.1,0,744
"526",61,50.9,1015.8,6.1,72,52,0,727
"527",73.8,63.2,1013.6,7.5,90,53.1,0,765
"528",82.4,63.1,1012.9,8.1,91,63,0,816
"529",71.4,49.1,1018.3,10.5,91,62.1,0,852
"530",67.9,47.8,1017,5.7,86,54,0,794
"531",74.1,58.5,1011.1,6.7,87.1,54,0,835
"532",78.4,68.2,1006.9,8.8,90,64,0,790
"533",74.4,62.5,1007.8,10,90,66,0,821
"534",70.8,54.8,1016.3,8.1,84.9,61,0,830
"535",74.3,51.2,1021.3,5.2,87.1,57.9,0,763
"536",77.7,56,1022.2,5.7,89.1,57.9,0,811
"537",83.4,65.5,1017.3,11.6,91.9,78.1,0,857
"538",75.5,50.7,1015.3,8.7,93,64,0,825
"539",71.8,58.6,1012.2,6.2,84,64,0,749
"540",70.3,65.6,1010.2,6.7,78.1,66.2,0,801
"541",70.9,56.8,1016.6,7.4,82,62.1,0,807
"542",76.7,61.4,1017.5,7,89.1,62.1,0,813
"543",81.3,68.7,1014.7,9.2,90,64.9,0,775
"544",79.6,60,1015.8,9.1,90,69.1,0,771
"545",68.2,53.5,1019.7,9.9,90,63,0,767
"546",66.8,50.2,1019.8,5.2,81,55,0,804
"547",69.4,50.6,1016.3,6.9,81,55,0,847
"549",65.5,47.8,1020.8,4.1,75.9,54,0,756
"550",68,51.4,1018.4,6,77,54,0,782
"551",70.8,60.1,1012.6,6.5,79,55,0,848
"552",75.5,64.5,1010.9,6.1,87.1,66,0,895
"553",77.4,66.9,1009.6,8.7,88,66,0,742
"554",76.8,68.8,1009.1,5.4,88,66.9,0,790
"555",75.9,66.7,1009.1,8.3,86,68,0,790
"556",73.1,58.9,1014.1,9.8,86,64.9,0,729
"557",72.4,56.5,1017.4,3.8,82,60.1,0,760
"558",78.3,65.6,1013.9,8.4,90,60.1,0,701
"559",81.1,69.3,1010.2,11.9,90,69.1,0,780
"560",77.8,68.9,1011,7.8,88,68,0,726
"561",76,64.1,1010,12.3,88,66.9,0,769
"562",70.8,58.2,1013.8,8.9,88,64,0,846
"563",67.3,56.1,1019.3,4.4,77,57,0,780
"564",70.5,59.4,1016.6,9.6,82.9,57,0,789
"565",78.6,67.1,1018.1,5.1,88,61,0,799
"566",78.6,62.9,1022,4.1,91,68,0,791
"567",78.8,65.7,1021.4,5.4,91,68,0,825
"568",81,72.2,1017.6,7.2,91,69.1,0,785
"569",79.2,70.9,1015.2,8,91,72,0,792
"570",84.6,74.6,1014.3,3.7,91,72,0,814
"571",78.5,72.6,1012,11.2,93,70,0,790
"572",79,66.4,1013.8,7.2,93,71.1,0,827
"573",78.9,63.5,1016.3,3.1,89.1,69.1,0,877
"574",79.3,63.2,1015.1,3.2,89.1,68,0,795
"575",76.8,67.2,1012.2,5,89.1,68,0,774
"576",73.2,68.8,1012.5,6.6,84,70,0,802
"577",72.3,65.6,1014.1,8.3,81,70,0,927
"578",72.7,63.9,1016.1,6,81,64.9,0,813
"579",74.7,64.9,1017.6,5.2,84,64.9,0,882
"580",77.2,65.7,1017.9,4.8,87.1,64.9,0,793
"581",79.6,66.1,1017,3.1,90,66.9,0,772
"582",80.7,65.4,1014.5,4.6,91,69.1,0,793
"583",78.2,67.7,1011,6.7,91,70,0,862
"584",75.7,60.1,1014,6.8,86,66,0,828
"585",74.7,59,1016.1,4.4,87.8,62.1,0,838
"586",76.9,61,1016.9,8.7,84,72,0,804
"587",77.7,60.8,1015.4,5.7,88,66.9,0,725
"588",80.4,65.5,1016.9,3.6,89.1,66.9,0,722
"589",81.7,68.7,1014.5,7.9,91.9,69.1,0,852
"590",79.9,72.8,1010,5.3,91.9,73,0,746
"591",77,71.3,1008.7,7.3,82.9,73.4,0,827
"592",76.7,63.7,1014.7,4.8,87.1,64.9,0,843
"593",74.5,66.1,1017.6,6,87.1,64.9,0,843
"594",76.5,67.1,1015.9,7,88,66.9,0,816
"595",77,65.6,1017.6,6,88,70,0,862
"596",76.9,69,1016.3,4.4,88,70,0,767
"597",75.3,66.2,1012.5,7.9,84.9,66,0,793
"598",74.7,68.4,1006,9.2,84,66,0,844
"599",66.4,55.3,1010.1,9.7,80.1,57.9,0,786
"600",67.1,52,1019.7,3.8,78.1,55.9,0,728
"601",70.5,58.1,1021.3,9.1,81,55.9,0,753
"602",74.9,66.5,1016.2,10.7,84,60.1,0,823
"603",76.4,69,1015,5.3,84.9,70,0,770
"604",72.4,61.3,1019.4,5.5,84.9,66,0,803
"605",73.6,67.2,1017.7,7.2,84,66,0,819
"606",76.9,69.4,1019.9,5.2,84,66.9,0,805
"607",75.7,69.3,1022.6,5.4,86,70,0,884
"608",75.6,70.6,1019.6,3.4,86,70,0,755
"609",72.9,62.5,1017.4,8.5,84,68,0,780
"611",67.6,55.3,1023.7,7.9,73.9,62.1,0,799
"612",67.9,56,1022.7,5.2,75.9,55.9,0,830
"613",69,57.6,1021.3,6,80.1,55.9,0,779
"614",73.2,62.4,1018.8,8.2,87.1,59,0,822
"615",82.2,71.6,1016.6,8.5,91,62.1,0,761
"616",82.5,72.4,1014.7,8,91,75,0,723
"617",76.3,70,1011.2,8.5,89.1,71.1,0,795
"618",73.8,66.4,1012.9,4.6,82,63,0,818
"619",68.8,59.9,1011.3,8.3,81,63,0,767
"620",64.7,51.4,1020.3,5.2,75.9,51.1,0,758
"621",66.5,51.9,1019.1,7.5,79,51.1,0,793
"622",72.2,58.3,1016.7,7,84.9,54,0,786
"623",69.4,59.2,1021.9,7.9,84.9,64,0,820
"624",68.2,57.5,1022.9,6.4,78.1,60.1,0,823
"625",72,60.8,1016.2,10.2,82.9,60.1,0,807
"626",73.9,62.3,1012.2,8.7,82.9,64.9,0,834
"627",69.1,54.7,1014.2,3.5,82,57,0,781
"628",71.4,53.2,1015.4,6.4,88,55.9,0,712
"629",74.8,54.9,1019.2,7.5,88,55.9,0,792
"630",70.2,60.9,1019.8,6.3,82.9,66,0,731
"631",71.4,63.4,1017.8,4.1,81,64,0,831
"632",71.7,65.4,1017.5,7.3,81,64.9,0,845
"633",68.5,62.5,1020.7,8.3,73.9,66,0,833
"634",71.7,62.7,1017.5,7.9,84.9,63,0,809
"635",65.9,48.1,1013.9,13,84.9,57.9,0,764
"636",60.1,35.5,1010.2,12.2,70,51.1,0,735
"637",56,45.4,1010.8,9.5,70,50,0,634
"638",60.7,55.9,1020,13.9,64.9,50,0,702
"639",61.8,58.4,1020.7,11,64.9,59,0,772
"640",61,57.7,1016.7,6.8,64,57,0,862
"641",59.7,57,1016.9,6.3,64.9,55.9,0,707
"642",61.9,56.4,1018.9,3.2,66.9,55.9,0,772
"643",65.2,56.4,1017.5,7.1,75,57,0,743
"644",68.7,57.7,1013.7,9.6,80.1,60.1,0,805
"645",65.8,59.7,1017.6,4.4,80.1,57.9,0,754
"646",65.2,57.4,1016.9,9.1,73.9,55.9,0,863
"647",52.4,38,1024,6.3,70,39.9,0,715
"648",55.9,45.7,1026,6.6,64.9,39.9,0,682
"649",56,45.4,1026.9,4.5,71.1,45,0,724
"650",63,49.9,1021.9,8.6,73,45,0,697
"651",62.3,53.6,1015.5,10.3,68,51.1,0,746
"652",47.9,36.9,1024.6,6.9,69.1,37.9,0,693
"653",50.2,39.9,1024.7,5,66,37.9,0,821
"654",58,52.6,1016.9,10,69.1,37.9,0,823
"655",68.5,62.7,1012,8.6,72,53.1,0,790
"656",71.8,64.5,1004.9,12.5,82,64.9,0,817
"657",73.9,58.8,1002,14.1,82,63,0,774
"658",60.4,46,1016.6,3.3,75.9,48.9,0,712
"659",54.8,47.2,1019.9,9.3,71.1,48.9,0,717
"660",47.7,33.9,1021.6,12,55.9,43,0,760
"661",46.6,32.2,1019.3,6.5,60.1,37,0,773
"662",55,43.7,1013.9,7.3,73,37,0,785
"663",53.7,40.3,1024.7,9.2,73,41,0,770
"664",46,36.8,1029.9,3.6,59,36,0,736
"665",47.8,42.1,1024.1,11.5,54,36,0,699
"666",47.6,42.6,1021,7.6,51.1,44.1,0,730
"667",48.9,43.4,1022.2,6.6,62.1,37.9,0,802
"668",65.8,58.1,1012.5,11.2,70,59,0,831
"669",54.5,49.3,1018.7,9.6,71.1,50,0,786
"670",47.9,41.4,1020.3,6.6,57.9,37.9,0,867
"671",65.3,55.7,1011.4,10.8,75,41,0,910
"672",62.3,57.5,1017.2,4.6,75,57,0,749
"673",56,50.5,1021.5,4.8,66.9,48,0,783
"674",52.8,44.1,1029.1,4.4,66.9,39.9,0,783
"675",54.7,44.3,1027.1,5.9,68,43,0,821
"676",56.1,46.5,1026.8,3.4,69.1,42.1,0,753
"677",53.8,42.7,1026.1,3.8,69.1,42.1,0,738
"678",55.7,45.4,1022.2,7.4,66,43,0,644
"679",49.5,35.4,1026,8.1,63,41,0,680
"680",49.4,33.8,1020.2,10.1,63,41,0,723
"681",49.4,36.1,1022,12.1,57,43,0,797
"682",41.8,31.4,1030.3,6.7,52,30.9,0,780
"683",44.6,30.4,1022.5,7.8,55.9,31.1,0,660
"684",48.4,35.5,1014,6.9,60.1,35.1,0,670
"685",46,42.3,1011.7,3,60.1,37.9,0,712
"686",48.1,41.7,1012.8,3.3,60.1,37.9,0,770
"687",54.6,45.8,1010.3,10.3,72,39,0,811
"688",62,49.2,1008.3,14.8,72,44.1,0,794
"689",37.9,24.8,1016.2,18.5,48,34,0,677
"690",29.2,15.9,1026.9,9.5,39,23,0,663
"691",30.1,17.2,1026.6,4.7,41,21.9,0,683
"692",32.8,25.5,1026.3,5.4,41,21.9,0,722
"693",39.8,35.6,1018.6,9.2,43,24.3,0,699
"694",40.3,36.5,1018.9,7.8,44.6,37,0,534
"695",37.3,32.6,1025.4,7,43,35.1,0,689
"696",37.8,32.2,1026.3,6.6,46.9,30.9,0,719
"697",37.8,35,1018.4,7.2,46.9,31.1,0,693
"698",44.1,40.5,1002,15.2,50,32,0,693
"699",49.7,42.7,995.8,12.6,57,41,0,698
"700",40.8,34.8,1002.1,8.3,57,34,0,697
"701",37.5,31.8,1007.6,12.5,45,34,0,822
"702",37.4,30,1019.1,8.8,41,35.1,0,835
"703",33.3,23.2,1027.3,6.1,39.9,30,0,758
"704",31.5,26.8,1021.7,2.9,34,28.9,5.9,595
"705",31.9,30.2,1016,7.6,33.8,26.6,3.1,678
"706",32.9,30.3,1011.9,6.5,41,25,2,688
"707",26.2,18.3,1017.3,13.2,41,24.1,2,660
"708",21.3,12.7,1024.1,15.9,27,17.1,0,606
"709",22.9,15.3,1032.4,9.8,25,19,0,668
"710",20.1,12.5,1033.4,7.4,25,18,0,612
"712",25.2,21,1015,10.2,33.8,14,5.1,629
"713",15,7,1021.5,7.6,32,7,5.1,574
"714",9.6,-0.3,1023.3,11.6,21.9,1.9,3.9,610
"715",3.9,-6.7,1028.6,13,19,-2,3.9,580
"716",11.7,2.5,1025,7.7,19,0,3.9,695
"717",20.4,16.3,1007.6,6.6,21.9,7,5.1,614
"718",11.3,4.4,1026.7,13.2,21.9,-2,5.9,526
"719",-0.6,-10.3,1040.2,8.8,18,-13,5.9,660
"720",19.6,7.6,1027,14.5,28,12.9,5.9,693
"721",26,18.7,1019.9,7.9,34,14,5.1,728
"722",34.1,25.7,1021.6,9.2,37,19,3.9,702
"723",30.6,25.2,1025.3,6.1,37,24.1,3.1,728
"724",34.9,31.3,1020.7,5.1,37.9,27.1,2,604
"726",45.1,39.2,1013.4,14.5,54,32,1.2,647
"727",28,18.5,1019,13.9,37.9,25,0,663
"728",29.6,22,1017.4,8.5,45,19,0,722
"729",33.6,25.3,1009.9,14.1,45,19.2,0,647
"730",29.3,17.1,1016.3,12,35.1,24.1,0,742
"731",35.5,21.4,1004.8,13.8,39.9,24.1,0,704
"733",34,27.9,1020,5.2,39.9,17.1,0,613
"734",38.2,36.9,1010.5,5.9,39.9,25.2,0,718
"735",18.2,9,1015.7,14.9,39,9,0,612
"736",9.3,-1.5,1018.4,11.5,19,6.1,0,611
"737",4.4,-6.4,1023.4,10.2,12.9,0,0,601
"738",6.5,-4.8,1032.5,8,18,0,0,618
"739",9.2,-4.2,1038.7,8.2,18,0,0,591
"740",21.5,10.5,1027.9,11.1,28,3,0,713
"741",37.5,32.2,1007.7,18,51.8,27,0,705
"742",31.6,26.3,1010.9,12.1,51.1,25,0,663
"743",26.1,23.2,1015.9,10.9,43,21,0,644
"744",19.9,9.7,1037.4,8.5,28,16,0,800
"745",28.9,19.3,1034.4,4.9,35.1,16,0,685
"746",26,17.5,1030.7,2.4,36,19.9,0,656
"747",32.6,28.2,1025.1,3.7,36,19.9,0,652
"748",37.2,36.2,1012.6,7.4,39,30.2,0,705
"749",34.7,32.9,1018.3,9.2,39,33.1,0,707
"750",35.8,33.4,1015.8,5.7,42.8,30,0,738
"751",39,37.6,1005.5,6.2,42.1,30.2,0,783
"752",48.2,44.3,1000.4,7.2,59,37.9,0,786
"753",42.8,39.6,1002.6,4.2,59,37.9,0,742
"754",39.4,36.1,1006.5,7.9,46,37,0,789
"755",36.6,32.7,1010.8,5.7,42.1,34,0,736
"756",37.2,34.3,1005.3,9.6,42.1,35.1,0,748
"757",33.2,29.6,1006,11.3,42.1,30,0,675
"758",27.8,20.6,1012.7,12.4,34,24.1,0,784
"759",26.7,20.2,1009,11,30.9,24.1,0,731
"760",26.8,16.5,1010.2,8.9,28.9,24.1,0,634
"761",22.1,9.7,1014,8.5,30,15.1,0,756
"762",36,29.3,1004.7,13.6,39,15.1,0,734
"763",34.6,25.7,1015.8,10.6,39,30,0,847
"764",20.6,6.9,1027.1,12.1,37.9,14,0,671
"765",19.1,3.5,1030.6,10.6,28,14,0,670
"766",21.6,5.5,1028,8.6,33.1,10,0,638
"767",32.7,17.2,1014.5,11,37.9,12,0,695
"768",33.5,26.3,1015.4,4.9,55,21,0,762
"769",43.8,43.1,998.7,6.4,50,41,0,693
"770",30.7,23.1,1011,10.6,50,25,0,666
"771",19,4.2,1023.3,11.3,32,12.9,0,668
"772",25.7,13.5,1018.6,12,39.9,12.9,0,745
"773",40.9,33.2,1009.8,5,48.9,34,0,704
"774",39.3,28.8,1016.5,12.9,48.9,34,0,678
"775",34.6,19.9,1025.7,9.5,46.9,25,0,718
"776",39.7,26.4,1011.8,10.9,50,25.2,0,713
"777",33.2,17.2,1010.8,12.1,50,26.1,0,673
"778",33.4,12.8,1013.1,7,41,27,0,671
"779",43.2,28.4,1005.5,6.9,66.9,27,0,832
"780",57.5,35.4,1004.8,7.9,70,44.1,0,748
"781",51.1,33.6,1013.8,2.8,70,35.1,0,674
"782",53,39.8,1018.3,8,70,35.1,0,711
"783",60.1,49.8,1012.9,8.4,70,41,0,679
"784",57.7,51.9,1008.1,7.4,68,48.9,0,703
"785",51.6,44.2,1006,10.5,68,37.9,0,655
"786",39.4,36.7,1002.4,12,39.9,37.9,0,660
"787",29.3,21.6,1007.9,12.6,39.9,23,0,599
"788",32.3,17.2,1016.2,11.1,48.9,21,0,576
"789",41.1,27.7,1019.1,7,54,21.2,0,633
"790",51.3,44.6,1011.5,11.7,60.1,45,0,631
"791",47.1,43.8,999.3,9.4,60.1,32,0,741
"792",32,20.8,1022,10.6,34,28.9,0,629
"793",27.5,7.5,1032.8,10.6,35.1,21,0,673
"794",33.2,22.3,1033.7,9.4,42.1,21.9,0,633
"795",41.4,28.8,1024.6,12.8,60.1,28.2,0,662
"796",54.8,46.9,1013.2,16,61,52,0,683
"797",55.1,40.9,1007.8,20.4,64.9,44.1,0,682
"798",46.3,20.1,1014.2,18.9,64.9,41,0,667
"799",39,19.4,1021.1,7.6,53.1,28.9,0,676
"800",31.8,7.7,1026.7,11.8,42.1,26.1,0,666
"801",24,-5,1032.2,8.7,37,18,0,659
"802",26.5,3,1031.6,4.7,36,18,0,553
"803",29.5,22.1,1024.5,9.6,36,18,2,541
"805",23.5,7,1028.4,10.9,33.1,16,2,607
"806",29,10.9,1026.9,5.5,42.1,16,1.2,668
"807",38.2,30.1,1019.4,8.1,50,19.2,1.2,709
"808",42.3,32,1019,11.9,50,36,0,674
"809",40.8,29.5,1026.8,5.6,53.1,28.9,0,605
"810",48.6,38.3,1017.2,8.8,54,29.1,0,696
"811",43.7,29,1021.2,8.1,54,35.1,0,650
"812",33.5,19.3,1032.8,12.9,37.9,28.9,0,647
"813",36.8,20.4,1029.2,9.7,50,28,0,666
"814",58.3,39.3,1014.2,12.5,82,29.1,0,779
"815",42.7,37.9,1017,11.8,46,41,0,695
"816",51.3,47.2,1011.7,6.8,62.1,41,0,702
"817",50.4,46.8,1012.3,6.1,62.1,45,0,722
"818",43.8,36.6,1017.9,9.3,52,41,0,673
"819",40.9,34.7,1022.9,9,50,35.1,0,669
"820",43.3,39.1,1011.7,12.1,48.9,35.1,0,691
"821",39.3,35.8,1008.9,14.1,45,37,0,777
"822",44.6,26.3,1020.6,5.8,59,34,0,831
"823",49.7,27.1,1020.8,4.9,61,34,0,690
"824",50.4,39.7,1006.7,6.2,61,42.1,0,697
"825",48.9,43.3,1001.4,8.9,55.9,46,0,712
"826",44.8,39.3,1012,9.9,55.9,39.9,0,633
"827",42.9,33.8,1008.4,17.5,50,37.4,0,668
"828",43.8,22.4,1017.9,11.1,54,37,0,705
"829",49.9,27.1,1016.1,9.3,68,37,0,696
"830",64.1,44.1,1007.9,15.7,75.9,57,0,761
"831",68.8,53.2,1006.4,15.7,78.1,46.9,0,683
"832",46.8,39.6,1019.2,8.7,53.1,42.1,0,703
"833",47.7,35.7,1027.2,5.5,59,36,0,726
"834",49.7,33.7,1026.9,8.6,59,42.1,0,665
"835",54.1,41.1,1023.2,7.7,66,46.9,0,773
"836",69.7,54.7,1014.9,12.9,82,46.9,0,817
"837",68.1,52.5,1012.2,12.2,82,59,0,687
"838",58.8,35.5,1020,6,73,44.1,0,752
"839",55.4,39.2,1020.4,9.3,75.9,41,0,735
"840",64.7,52.7,1015.4,8.5,75.9,41,0,758
"841",56.5,46.6,1012.2,11.3,73,45,0,713
"842",50.4,35.4,1016.6,12.7,57.9,44.1,0,815
"843",49.7,29.8,1021.7,9.4,60.1,42.1,0,701
"844",54.5,26.3,1019.9,3.5,72,37,0,703
"845",55.3,34.4,1015.4,7.2,73,37,0,736
"846",63.7,43.5,1005.3,9.2,79,39.9,0,757
"847",69.5,54.1,998.1,11.9,79,52,0,758
"848",54.3,48.3,999,12,73.9,44.1,0,716
"849",48.4,38.2,1011.8,6.5,62.1,39.9,0,832
"850",45.5,36.9,1018.7,13.7,55,39.2,0,616
"851",43.6,41.3,1013.1,14.3,46.9,39.9,0,657
"852",49.6,43.5,998,10.1,57,43,0,863
"853",45.8,37.8,1004.4,15.8,57,41,0,689
"854",47.6,33.4,1019.3,5.8,55.9,35.1,0,739
"855",48.7,34.5,1016.7,8.9,55.9,35.1,0,741
"856",49.1,37.3,1010.9,12,61,41,0,799
"857",51,36.2,1009.1,10.3,61,41,0,713
"858",48.3,24.6,1015.4,8.3,59,36,0,630
"859",46.1,25.8,1019.4,5.5,59,34,0,705
"860",48.1,33.2,1015,6.3,61,34,0,707
"861",55,38.7,1014,5.3,66.9,42.1,0,663
"862",54.8,46.7,1013.5,9.5,66.9,44.1,0,737
"863",58.6,41.2,1014.5,5.3,73,45,0,849
"864",62.1,44,1012.1,7.2,82,45,0,724
"865",62.4,43.9,1011.5,6.3,82,46.9,0,712
"866",62.5,42.9,1013.9,7.5,82,50,0,871
"867",74.1,57.7,1008.9,10.2,87.1,50,0,748
"868",78.3,58.2,1004.5,16.7,87.1,61,0,835
"869",74,57.7,1005.2,18.1,84,62.1,0,775
"870",48,40.7,1018.7,15.6,73.9,43,0,776
"871",51.4,44.6,1018.1,10.9,64,43,0,664
"872",60.8,52.9,1013,9.1,64.9,48,0,791
"873",57.5,42.6,1015.4,11.4,73,48,0,795
"874",60.7,53.3,1009.3,7.4,73,48,0,739
"875",56.9,51.7,1002.6,10.1,62.1,53.1,0,762
"876",58.8,50.7,1002,10.6,69.1,53.1,0,763
"877",60.2,51.4,1009,5.2,71.1,52,0,767
"878",61.7,52.8,1011.5,5.4,78.1,52,0,800
"879",67.6,55,1007.7,5.4,78.1,52,0,705
"880",68.7,46.6,1008.2,10.5,77,55.9,0,768
"881",64.2,44.3,1012.7,9.5,77,54,0,814
"882",63.8,43.5,1014.3,9.3,73.9,52,0,739
"883",66.4,40.6,1016.9,4.8,81,51.1,0,895
"884",70.5,41.5,1017.5,4,86,51.1,0,841
"885",73.4,48.6,1015.8,5.4,86,53.1,0,823
"886",80.1,58.5,1010.1,7.5,91.9,57,0,820
"887",70,55.7,1008.9,9.9,91.9,62.1,0,737
"888",64.5,44.5,1015.9,12.6,75.9,54,0,826
"889",66.7,43.7,1019,8.9,77,54,0,787
"890",69.1,42.9,1016.1,3.3,82.9,53.1,0,769
"891",74.3,52.7,1008.5,7.5,87.1,53.1,0,816
"892",75.6,53.9,1009.5,9.9,90,64,0,785
"893",81.8,55.9,1011.3,13.1,93,64,0,813
"894",85,60.5,1012.2,11.6,95,73,0,742
"895",79.9,62.5,1013.4,6.5,95,68,0,808
"896",77.3,64.4,1012,7.9,91.9,68,0,769
"897",76.2,64.4,1009.8,8.1,91.9,68,0,823
"898",76.8,59.9,1008.5,8.8,91,66.9,0,835
"899",78,66.7,1003.6,8.7,87.1,66.9,0,827
"900",74.4,63.6,1002.6,10,87.1,69.1,0,786
"901",70.2,54.4,1008.5,9.3,80.1,63,0,745
"902",67.2,52.8,1013.2,9,80.1,57.9,0,802
"903",67.7,53.1,1014,5.5,80.1,55,0,786
"904",78.5,63.5,1009.7,10.7,88,55,0,818
"905",76.9,62.2,1005.1,10.7,88,66.9,0,778
"906",69.6,51.5,1012.1,11,82.9,61,0,819
"907",64,46.6,1017.9,11,75,54,0,796
"908",64,46.1,1018.5,10.5,75,54,0,787
"909",64.6,44.4,1018.7,7,78.1,50,0,772
"910",67.6,50.8,1014.3,11.1,80.1,50,0,707
"911",74.4,63.8,1008.1,12.2,81,57.9,0,776
"912",73,65.3,1009.6,5.7,84,64,0,778
"913",75.1,60.1,1011.1,8.5,84,66,0,934
"914",74.4,56.3,1015.6,9,89.1,62.1,0,780
"915",73,62.2,1016.5,6.7,89.1,62.1,0,864
"916",72.3,61.2,1017.9,7,82.9,64,0,796
"917",76.2,61.3,1018.6,5.4,89.1,64,0,859
"918",80.7,64,1015.3,4.5,93,64.9,0,781
"919",80.9,66,1011,8.7,93,69.1,0,758
"920",70.5,55.3,1015,6.6,89.1,62.1,0,759
"921",73.4,51.8,1016.4,6.1,86,62.1,0,823
"922",77,66.1,1010,7.2,86,63,0,779
"923",76.4,68.3,1010.6,4.3,84.9,66.9,0,769
"924",75.4,70,1011.5,9.4,84.9,68,0,691
"925",78.2,69.2,1013.6,8.7,82.9,72,0,820
"926",70.9,59.7,1018.1,8.3,82.9,64.9,0,798
"927",69.7,58.2,1020,4.7,81,60.1,0,889
"928",71.8,61.5,1016.1,9.6,81,60.1,0,812
"929",67.4,56.2,1017.1,6.1,79,55.9,0,847
"930",73.7,59.2,1017.2,3.6,89.1,55.9,0,792
"931",80.5,68.1,1017.4,5.8,89.1,60.1,0,769
"932",76.7,69,1014.9,8.6,88,69.1,0,761
"933",79.7,69.7,1014.2,4.9,89.1,70,0,758
"934",77.4,69.7,1009.2,7.5,89.1,72,0,755
"935",78.8,67.5,1008.4,5,90,70,0,842
"936",70.6,60.1,1014.3,9.4,73,66,0,782
"937",71.2,57.7,1020.7,6.6,82,61,0,850
"938",74.9,62.1,1018.1,6.8,84.9,64.9,0,752
"939",77.9,68,1013.3,8.6,84.9,64.9,0,790
"940",73.6,60.1,1014.3,12,82,69.1,0,851
"941",72,53.6,1018.5,9.8,79,64,0,800
"942",73.3,57.5,1021.4,5.3,84,62.1,0,818
"943",75.7,57.2,1021.5,2.5,86,62.1,0,794
"945",76.7,63,1015.9,5.9,87.1,66,0,774
"946",74.7,66.6,1014.6,7.4,87.1,66,0,849
"947",63.1,54,1010.8,13.3,84,55.9,0,924
"948",67.7,53.3,1016.1,7.4,80.1,55.9,0,928
"949",70.7,56.7,1016.3,3.7,80.1,60.1,0,865
"950",69.5,57,1016.8,6.6,77,63,0,773
"951",70.2,50.4,1020.6,4.9,84,57.9,0,768
"952",72.9,55.9,1021.1,3.8,84,57.9,0,769
"953",73.8,57.8,1018,7.4,84,61,0,790
"954",71.3,61,1014.7,7,84,62.1,0,765
"955",68.4,56.4,1017,7.8,78.1,60.1,0,813
"956",68.8,53.3,1017.6,3.4,80.1,57,0,730
"957",72.4,56.9,1012.6,3.8,82.9,57,0,815
"958",75.4,63.8,1011.1,5.8,84,62.1,0,795
"959",75,64.2,1014.5,7,88,66.9,0,795
"960",77.3,68.8,1007.8,12,88,66.9,0,768
"961",74.2,61.3,1009.1,10.7,82,66.9,0,859
"962",74.2,58,1012.7,5.2,86,63,0,892
"963",75.1,59.5,1015.5,4.5,90,63,0,776
"964",78.1,68.7,1016.3,6.8,90,63,0,754
"965",75.9,63.6,1012,11.5,87.1,71.1,0,780
