"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","temp","dewp","max","min","sndp","NUM_CRIMES"
"56",0,0,0,0,0,0,0,1,0,0,0,0,2015,11.6,-3.9,30.9,3,7.1,612
"57",0,0,0,0,0,0,0,1,0,0,0,0,2015,12.4,2,27,0,7.1,712
"58",0,0,0,0,0,0,0,1,0,0,0,0,2015,31.7,22,43,25,5.1,697
"59",0,0,0,0,0,0,0,1,0,0,0,0,2015,34.9,27.1,44.1,24.1,3.9,625
"60",0,0,0,0,0,0,0,1,0,0,0,0,2015,36.8,26.3,50,25,2,726
"61",0,0,0,0,0,0,0,1,0,0,0,0,2015,40.5,36.1,51.1,25,3.9,754
"62",0,0,0,0,0,0,0,1,0,0,0,0,2015,42.1,33.1,51.1,30,0,746
"63",0,0,0,0,0,0,0,1,0,0,0,0,2015,41.8,26.4,55.9,28,0,752
"64",0,0,0,0,0,0,0,1,0,0,0,0,2015,47,30.3,64.9,28,0,814
"65",0,0,0,0,0,0,0,1,0,0,0,0,2015,51,37.4,64.9,37,0,798
"66",0,0,0,0,0,0,0,1,0,0,0,0,2015,45.2,32,62.1,28.9,0,779
"67",0,0,0,0,0,0,0,1,0,0,0,0,2015,58,37.1,73,48.9,0,779
"68",0,0,0,0,0,0,0,1,0,0,0,0,2015,44.6,26.1,73,35.1,0,692
"69",0,0,0,0,0,0,0,1,0,0,0,0,2015,36.8,14.7,50,28,0,690
"70",0,0,0,0,0,0,0,1,0,0,0,0,2015,41.7,17.7,50,28,0,717
"71",0,0,0,0,0,0,0,1,0,0,0,0,2015,42.5,30.3,50,37,0,777
"72",0,0,0,0,0,0,0,1,0,0,0,0,2015,42.5,34.1,50,36,0,689
"73",0,0,0,0,0,0,0,1,0,0,0,0,2015,32.4,21.6,48.9,26.1,0,656
"74",0,0,0,0,0,0,0,1,0,0,0,0,2015,29.1,23.9,35.1,26.1,5.1,592
"75",0,0,0,0,0,0,0,1,0,0,0,0,2015,29.7,20.6,35.1,19,3.9,639
"76",0,0,0,0,0,0,0,1,0,0,0,0,2015,36.6,31.4,41,35.1,2,724
"77",0,0,0,0,0,0,0,1,0,0,0,0,2015,36.7,27.5,42.1,32,2,684
"78",0,0,0,0,0,0,0,1,0,0,0,0,2015,29,15.6,42.1,21.9,1.2,725
"79",0,0,0,0,0,0,0,1,0,0,0,0,2015,26.8,11.3,36,19.9,1.2,657
"80",0,0,0,0,0,0,0,1,0,0,0,0,2015,31.6,18.6,46.9,19.9,0,619
"81",0,0,0,0,0,0,0,1,0,0,0,0,2015,46,30.5,61,23.2,0,719
"82",0,0,0,0,0,0,0,1,0,0,0,0,2015,48.7,35.2,61,34,0,693
"83",1,0,0,0,0,0,0,0,0,0,0,0,2015,51.9,35.1,72,35.1,0,929
"84",1,0,0,0,0,0,0,0,0,0,0,0,2015,58.5,42.9,72,35.1,0,794
"85",1,0,0,0,0,0,0,0,0,0,0,0,2015,50.1,30.9,64.9,36,0,710
"86",1,0,0,0,0,0,0,0,0,0,0,0,2015,39.7,23.1,57.9,28,0,694
"87",1,0,0,0,0,0,0,0,0,0,0,0,2015,53.5,23.8,66,46,0,673
"88",1,0,0,0,0,0,0,0,0,0,0,0,2015,45.5,34.5,66,34,0,676
"89",1,0,0,0,0,0,0,0,0,0,0,0,2015,40.4,35.9,45,37.9,0,603
"90",1,0,0,0,0,0,0,0,0,0,0,0,2015,44.5,42.2,50,37.9,0,679
"91",1,0,0,0,0,0,0,0,0,0,0,0,2015,50.5,48.2,71.1,39.9,0,648
"92",1,0,0,0,0,0,0,0,0,0,0,0,2015,52.6,41.8,71.1,39.9,0,714
"93",1,0,0,0,0,0,0,0,0,0,0,0,2015,47.7,33.4,62.1,37.9,0,720
"94",1,0,0,0,0,0,0,0,0,0,0,0,2015,54.7,32.7,68,37.9,0,773
"95",1,0,0,0,0,0,0,0,0,0,0,0,2015,60.1,40.3,68,41,0,735
"96",1,0,0,0,0,0,0,0,0,0,0,0,2015,55.8,24.5,66,39,0,767
"97",1,0,0,0,0,0,0,0,0,0,0,0,2015,54,24.6,66,39,0,802
"98",1,0,0,0,0,0,0,0,0,0,0,0,2015,52.9,35.9,66,43,0,688
"99",1,0,0,0,0,0,0,0,0,0,0,0,2015,60.2,44.3,78.1,45,0,785
"100",1,0,0,0,0,0,0,0,0,0,0,0,2015,59.6,42.6,78.1,45,0,769
"101",1,0,0,0,0,0,0,0,0,0,0,0,2015,55.6,34.7,68,46.9,0,703
"102",1,0,0,0,0,0,0,0,0,0,0,0,2015,48.6,44.4,68,44.1,0,743
"103",1,0,0,0,0,0,0,0,0,0,0,0,2015,44.3,29,54,39,0,663
"104",1,0,0,0,0,0,0,0,0,0,0,0,2015,39.7,23.7,54,34,0,682
"105",1,0,0,0,0,0,0,0,0,0,0,0,2015,42.3,21.3,55,32,0,731
"106",1,0,0,0,0,0,0,0,0,0,0,0,2015,44.2,23,57,28.9,0,761
"107",1,0,0,0,0,0,0,0,0,0,0,0,2015,43.5,37.2,57,28.9,0,695
"108",1,0,0,0,0,0,0,0,0,0,0,0,2015,44.8,28.7,55.9,35.1,0,718
"109",1,0,0,0,0,0,0,0,0,0,0,0,2015,46.3,30.2,55.9,35.1,0,721
"110",1,0,0,0,0,0,0,0,0,0,0,0,2015,46.3,33.7,57.9,35.1,0,719
"111",1,0,0,0,0,0,0,0,0,0,0,0,2015,49.7,34.3,61,35.1,0,766
"112",1,0,0,0,0,0,0,0,0,0,0,0,2015,45.6,33.9,61,37.9,0,666
"113",0,0,0,0,0,0,0,0,1,0,0,0,2015,62.1,38.1,75.9,37.9,0,687
"114",0,0,0,0,0,0,0,0,1,0,0,0,2015,67.4,42.6,78.1,50,0,745
"115",0,0,0,0,0,0,0,0,1,0,0,0,2015,65.1,54.6,78.1,55,0,779
"116",0,0,0,0,0,0,0,0,1,0,0,0,2015,52.1,45.6,73.9,48,0,697
"117",0,0,0,0,0,0,0,0,1,0,0,0,2015,55.6,50.9,77,46,0,739
"118",0,0,0,0,0,0,0,0,1,0,0,0,2015,66.9,52,82.9,46,0,826
"119",0,0,0,0,0,0,0,0,1,0,0,0,2015,71.1,60.7,82.9,52,0,807
"120",0,0,0,0,0,0,0,0,1,0,0,0,2015,59.5,56.2,81,52,0,685
"121",0,0,0,0,0,0,0,0,1,0,0,0,2015,48.5,45.8,64,45,0,741
"122",0,0,0,0,0,0,0,0,1,0,0,0,2015,56.4,52.7,68,44.6,0,749
"123",0,0,0,0,0,0,0,0,1,0,0,0,2015,52,39.5,68,46.9,0,757
"124",0,0,0,0,0,0,0,0,1,0,0,0,2015,47.6,34.7,55.9,39.9,0,768
"125",0,0,0,0,0,0,0,0,1,0,0,0,2015,52.2,38.8,66,39.9,0,755
"126",0,0,0,0,0,0,0,0,1,0,0,0,2015,63.2,56.8,75.9,43,0,822
"127",0,0,0,0,0,0,0,0,1,0,0,0,2015,69,62.5,79,57,0,882
"128",0,0,0,0,0,0,0,0,1,0,0,0,2015,72.3,65,82,62.1,0,836
"129",0,0,0,0,0,0,0,0,1,0,0,0,2015,72.1,58.3,82,63,0,758
"130",0,0,0,0,0,0,0,0,1,0,0,0,2015,50.4,36.9,77,46,0,708
"131",0,0,0,0,0,0,0,0,1,0,0,0,2015,43.5,30.2,53.1,39,0,730
"132",0,0,0,0,0,0,0,0,1,0,0,0,2015,51.8,37.7,69.1,39,0,745
