"","month","year","temp","dewp","max","min","sndp","NUM_CRIMES"
"112","Apr",2015,45.6,33.9,61,37.9,0,666
"113","May",2015,62.1,38.1,75.9,37.9,0,687
"114","May",2015,67.4,42.6,78.1,50,0,745
"115","May",2015,65.1,54.6,78.1,55,0,779
"116","May",2015,52.1,45.6,73.9,48,0,697
"117","May",2015,55.6,50.9,77,46,0,739
"118","May",2015,66.9,52,82.9,46,0,826
"119","May",2015,71.1,60.7,82.9,52,0,807
"120","May",2015,59.5,56.2,81,52,0,685
"121","May",2015,48.5,45.8,64,45,0,741
"122","May",2015,56.4,52.7,68,44.6,0,749
"123","May",2015,52,39.5,68,46.9,0,757
"124","May",2015,47.6,34.7,55.9,39.9,0,768
"125","May",2015,52.2,38.8,66,39.9,0,755
"126","May",2015,63.2,56.8,75.9,43,0,822
"127","May",2015,69,62.5,79,57,0,882
"128","May",2015,72.3,65,82,62.1,0,836
"129","May",2015,72.1,58.3,82,63,0,758
"130","May",2015,50.4,36.9,77,46,0,708
"131","May",2015,43.5,30.2,53.1,39,0,730
"132","May",2015,51.8,37.7,69.1,39,0,745
"133","May",2015,58.8,35.1,69.1,45,0,824
"134","May",2015,61.8,35.6,80.1,46,0,798
"135","May",2015,66.1,49.3,80.1,46,0,687
"136","May",2015,70.4,62.1,78.1,59,0,708
"137","May",2015,70.6,62.5,78.1,64,0,770
"138","May",2015,68.4,59.1,73.9,64,0,738
"139","May",2015,69.5,54.3,82,54,0,800
"140","May",2015,72.1,60.3,82,54,0,828
"141","May",2015,64.4,58.8,80.1,46.4,0,719
"142","May",2015,47.5,39.5,54,42.1,0,666
"143","Jun",2015,55.5,40.1,70,42.1,0,772
"144","Jun",2015,62.3,49.2,77,42.1,0,778
"145","Jun",2015,68.2,56.7,81,50,0,721
"146","Jun",2015,65.3,56.7,80.1,55.4,0,786
"147","Jun",2015,60.1,50,70,51.8,0,758
"148","Jun",2015,65.7,57.7,81,52,0,739
"149","Jun",2015,73.1,63.8,84,55,0,682
"150","Jun",2015,69.7,56.2,84.9,60.1,0,732
"151","Jun",2015,80.2,62.3,91.9,60.1,0,793
"152","Jun",2015,68.9,57,75.9,63,0,804
"153","Jun",2015,61.5,59,72,57.9,0,828
"154","Jun",2015,66.1,60.5,84.9,55.4,0,813
"155","Jun",2015,73.3,67.9,86,55.9,0,795
"156","Jun",2015,74.8,69.9,82.9,68,0,739
"157","Jun",2015,68.6,58.7,80.1,64,0,847
"158","Jun",2015,61.3,51,72,55.9,0,722
"159","Jun",2015,71.6,65.4,79,55.9,0,768
"160","Jun",2015,60.8,50.8,79,54,0,774
"161","Jun",2015,62.8,53.5,78.1,53.1,0,766
"162","Jun",2015,73.5,64.7,84,53.1,0,783
"163","Jun",2015,75.2,69.2,84,66,0,780
"164","Jun",2015,75.3,59.3,82.9,66,0,732
"165","Jun",2015,70.2,56.5,82,60.1,0,728
"166","Jun",2015,70.7,64,79,60.1,0,784
"167","Jun",2015,63.1,58.8,79,60.1,0,784
"168","Jun",2015,64,52.1,75.9,55.9,0,723
"169","Jun",2015,67.5,51,79,54,0,797
"170","Jun",2015,68.1,61.6,79,54,0,752
"171","Jun",2015,68.1,61.4,77,62.1,0,749
"172","Jul",2015,60.7,52.7,69.1,55.4,0,889
"173","Jul",2015,59.3,51.8,69.1,53.1,0,757
"174","Jul",2015,64.2,51.9,77,53.1,0,768
"175","Jul",2015,69.7,54.4,81,55,0,845
"176","Jul",2015,72.4,58.4,82.9,59,0,898
"177","Jul",2015,74.2,64.9,84.9,60.1,0,757
"178","Jul",2015,67.3,58.1,84.9,57,0,701
"179","Jul",2015,59.7,50.2,71.1,54,0,718
"180","Jul",2015,63.6,56,77,54,0,672
"181","Jul",2015,69,56.5,82.9,57.9,0,739
"182","Jul",2015,70.4,57.8,82.9,59,0,798
"183","Jul",2015,73.6,65.6,82.9,61,0,801
"184","Jul",2015,75.7,68.2,86,68,0,782
"185","Jul",2015,76.2,66.4,86,68,0,711
"186","Jul",2015,65.8,53.1,82.9,59,0,795
"187","Jul",2015,66,56.4,75,57.9,0,673
"188","Jul",2015,77.3,70.9,91.9,57.9,0,825
"189","Jul",2015,78.7,71.4,91.9,71.1,0,776
"190","Jul",2015,79.4,69.6,89.1,73,0,764
"191","Jul",2015,74.5,62,84.9,63,0,778
"192","Jul",2015,74.9,58.2,84.9,63,0,777
"193","Jul",2015,73.6,55.9,82.9,64,0,774
"194","Jul",2015,74.4,56.6,84.9,63,0,810
"195","Jul",2015,75.2,60.1,84.9,63,0,867
"196","Jul",2015,79.5,67.1,91,64,0,832
"197","Jul",2015,74.7,65.5,91,64,0,802
"198","Jul",2015,77.2,64,88,64,0,835
"199","Jul",2015,79.4,66.6,91,66.9,0,767
"200","Jul",2015,81.3,66,91,66.9,0,764
"201","Jul",2015,77.1,55.3,88,64.9,0,775
"202","Jul",2015,78.2,56.4,88,64.9,0,782
"203","Aug",2015,79.6,65.4,91,64,0,822
"204","Aug",2015,75.7,60.1,91,66.9,0,729
"205","Aug",2015,72.2,53.5,82,61,0,761
"206","Aug",2015,72.7,55.6,82,61,0,772
"207","Aug",2015,73.3,60.6,82.9,61,0,809
"208","Aug",2015,73.2,59.3,82.9,63,0,839
"209","Aug",2015,75.3,62.6,82.9,63,0,849
"210","Aug",2015,71.8,65.9,82,66.9,0,745
"211","Aug",2015,75.1,67.7,84,66.9,0,809
"212","Aug",2015,72.9,62.3,84,64.9,0,791
"213","Aug",2015,71.2,56.8,82,61,0,760
"214","Aug",2015,73.8,60.4,84.9,61,0,784
