"","temp","dewp","slp","wdsp","NUM_CRIMES"
"159",73.1,63.8,1004.9,10.5,682
"160",69.7,56.2,1008.2,7.3,732
"161",80.2,62.3,1005.5,10.7,793
"162",68.9,57,1009.9,6.6,804
"163",61.5,59,1009.8,7,828
"164",66.1,60.5,1013.2,6.2,813
"165",73.3,67.9,1012.3,6.8,795
"166",74.8,69.9,1013,5,739
"167",68.6,58.7,1018.3,7.9,847
"168",61.3,51,1017.7,4.8,722
"169",71.6,65.4,1013.6,7.1,768
"170",60.8,50.8,1017.8,10.2,774
"171",62.8,53.5,1012.3,6,766
"172",73.5,64.7,1010.9,7.6,783
"173",75.2,69.2,1012,7.8,780
"174",75.3,59.3,1012.8,9.5,732
"175",70.2,56.5,1019.5,4.5,728
"176",70.7,64,1015.4,6.3,784
"177",63.1,58.8,1015.2,7.7,784
"178",64,52.1,1015,9,723
"179",67.5,51,1012.6,3.2,797
"180",68.1,61.6,1009.1,3.6,752
"181",68.1,61.4,1008.7,6.2,749
"182",60.7,52.7,1013.6,6.6,889
"183",59.3,51.8,1015.5,8.6,757
"184",64.2,51.9,1014.7,4.4,768
"185",69.7,54.4,1014.4,3.5,845
"186",72.4,58.4,1016.8,4,898
"187",74.2,64.9,1014.2,7.3,757
"188",67.3,58.1,1014,13,701
"189",59.7,50.2,1018.7,6.8,718
"190",63.6,56,1015.1,6.7,672
"191",69,56.5,1018.4,3.5,739
"192",70.4,57.8,1019.6,4,798
"193",73.6,65.6,1015.2,4.5,801
"194",75.7,68.2,1007.6,8.7,782
"195",76.2,66.4,1002.7,10,711
"196",65.8,53.1,1014.1,9,795
"197",66,56.4,1015.4,6,673
"198",77.3,70.9,1007.9,7.9,825
"199",78.7,71.4,1009.6,6.7,776
"200",79.4,69.6,1010.8,8.2,764
"201",74.5,62,1009.9,6.3,778
"202",74.9,58.2,1009.9,8.5,777
"203",73.6,55.9,1013.9,4,774
"204",74.4,56.6,1015.2,3.5,810
"205",75.2,60.1,1015.5,5.1,867
"206",79.5,67.1,1012.7,7.5,832
"207",74.7,65.5,1013.7,4.1,802
"208",77.2,64,1014.7,7.2,835
"209",79.4,66.6,1014.5,5.8,767
"210",81.3,66,1013.4,8,764
"211",77.1,55.3,1016.2,10.2,775
"212",78.2,56.4,1015.1,10.9,782
"214",79.6,65.4,1009.3,11.7,822
"215",75.7,60.1,1008.3,10,729
"216",72.2,53.5,1013.2,7.4,761
"217",72.7,55.6,1016.4,4.6,772
"218",73.3,60.6,1014.6,6.6,809
"219",73.2,59.3,1012.6,7,839
"220",75.3,62.6,1011.9,6.7,849
"221",71.8,65.9,1014.1,4.4,745
"222",75.1,67.7,1011.3,4.8,809
"223",72.9,62.3,1015.1,6.6,791
"224",71.2,56.8,1020.1,3.6,760
"225",73.8,60.4,1018.7,7.9,784
"226",78.2,66.1,1017.9,8.5,808
"227",76.6,66.7,1018.7,6.1,826
"228",78.7,69.1,1018.2,5.2,865
"229",78.6,67.1,1016.3,6.2,741
"230",73.6,66.8,1011.2,6.4,762
"231",71.7,63.2,1004.9,11.1,793
"232",64.8,52.9,1008.9,13.6,839
"233",68.7,53,1017.1,6.7,858
"234",72.1,56.7,1018.1,9.3,845
"235",71.5,58.6,1012.3,9.8,806
"236",65,49,1013.2,11.5,724
"237",63.4,48.2,1015.5,8.9,767
"238",61.9,52.4,1019.7,6,792
"239",63.1,52.3,1021.6,3.6,764
"240",65.5,56.8,1019.8,4.2,806
"241",67.6,63.2,1017.2,5.7,761
"242",68.4,63.9,1016.9,3.3,800
"243",71,64.2,1016.9,2.8,745
"245",80.3,69.4,1015.9,7.1,801
"246",81,68.3,1013.2,6.9,875
"247",74.4,66.8,1014.8,5.4,815
"248",75.4,67.3,1017.8,6.1,767
"249",79.9,66.6,1017.3,7.9,818
"250",81.5,66.9,1014.4,7.3,808
"251",77,69.6,1011.5,6.5,717
"252",70.2,60.4,1013.8,6.5,711
"253",64,56,1014.2,4,659
"254",61.9,56.5,1014.2,8.2,691
"255",57.6,45.8,1017.1,10,724
"256",58.1,44.5,1016.8,6.2,734
"257",65.3,48.8,1016.4,9.2,791
"258",72.9,53.9,1020.5,11.2,813
"259",70.5,52.8,1021.8,9.7,766
"260",71.7,58.5,1016.6,9.7,717
"261",72,67.2,1010.1,7.4,791
"262",65.5,57.4,1012.8,9.7,792
"263",60.4,48.6,1020.9,2.6,811
"264",62.1,49.4,1020.3,4.6,735
"265",64.6,51.5,1020.9,3.3,777
"266",68.2,52.1,1023.6,3.4,833
"267",66.7,56.6,1024,4.6,718
"268",65.5,59.6,1023.7,7.2,811
"269",67,58.5,1023.5,6.9,792
"270",67.4,59.5,1019.5,6.3,802
"271",69.6,63.6,1015.6,4.3,753
"272",64.4,59.6,1014.9,9.6,670
"273",56.7,44.1,1021.7,14.3,678
"274",55.2,42.4,1025.3,14.5,889
"275",55,41.7,1027,16.4,799
"276",52.1,39.6,1024.1,16.3,709
"277",51.9,47.4,1022.4,11,654
"278",57,53.8,1021.7,6.8,755
"279",60.2,53.8,1020.6,4.5,752
"280",62,54.9,1019.9,6,718
"281",61.7,52.4,1016.9,6.8,701
"282",60.4,52.1,1017.1,9.9,795
"283",53.2,43.7,1022.1,4.2,729
"284",61.5,46.7,1010.9,9.3,735
"285",67.1,48.6,1000.7,12.4,732
"286",55.7,41.3,1003.7,13.4,741
"287",52.3,39.3,1013.3,6.9,764
"288",54.8,36.3,1015.5,8.9,816
"289",48.9,30,1022.7,9.7,734
"290",42.5,23.1,1029,9.2,706
"291",44.6,26.8,1030.5,3.9,675
"292",54.9,30.7,1022.5,13.9,788
"293",63.7,37.7,1017.5,11.5,785
"294",62.7,51.9,1018.5,8.8,794
"295",59.8,48.8,1022.3,6.7,774
"296",55,44.5,1022.4,9.3,777
"297",61.8,57.9,1011,12.1,765
"298",51.3,39.1,1024.9,5.8,728
"299",49.2,38.7,1028.6,3.6,781
"300",53.2,42.9,1023,9.4,651
"301",52.7,50.5,1002.9,12.6,682
"302",40.6,32.8,1003.6,16,669
"303",45.5,37,1017.5,5.8,776
"304",46.8,42.1,1014.1,9.4,721
"306",57.9,43.4,1014.3,8.4,785
"307",58.4,47.9,1017.7,6.2,749
"308",57.5,54.5,1018.9,6.6,791
"309",63.8,56.8,1015.7,10.5,755
"310",55.5,48.3,1012.1,16,747
"311",44.3,34.5,1023.9,9,691
"312",40.8,28.1,1029.7,4.3,705
"313",41.7,28.2,1025.3,2.6,684
"314",45.1,32.3,1019.7,2.3,640
"315",47.9,36.8,1012,8.8,688
"316",48.4,42,999,19.1,693
"317",41.7,27.6,1014.2,17.5,679
"318",38.9,26.1,1024,6.8,696
"319",52.5,33.5,1022.7,8.3,722
"320",51.6,35.8,1020.7,9.7,744
"321",51,48,1013.9,13.5,668
"322",58.4,50.7,1001.3,19.6,683
"323",44.6,31.7,1009.1,16.1,696
"324",35.9,17.5,1022.5,10,714
"325",31.9,29.5,1018.6,8.6,528
"326",19.1,13.2,1021.8,7.9,520
"327",28.4,22,1017.2,9.1,650
"328",31.6,26.8,1024.6,4.8,607
"329",38.3,30.9,1023.7,10.8,620
"330",52,46.4,1022.5,14.1,589
"331",45.5,42.5,1025.2,14.4,613
"332",34.7,28.5,1029.4,10.7,658
"333",32.7,25.7,1028.3,6.5,612
"334",40.1,31.7,1022.6,8.4,668
"335",41.6,36,1010.6,9.4,797
"336",34.8,31,1010,6.7,716
"337",33,28.4,1021.5,9.3,710
"338",36.6,32.2,1032.2,8.4,700
"339",35.8,32.1,1035.6,7.1,707
"340",35.8,31.6,1028,5.6,687
"341",33.7,32,1023.2,4.2,689
"342",40,36.6,1014.5,9.8,733
"343",46,40.7,1006.4,8.3,685
"344",48.3,38.4,1003.5,12.8,690
"345",45.9,35.1,1005.9,8.6,742
"346",49.7,45.2,1011.8,3.4,752
"347",55,52.9,1010.1,8.2,652
"348",54.7,51.1,993.8,15,739
"349",41.3,35.8,1008.9,8.3,793
"350",43.3,38.4,1007.9,12.9,722
"351",33.4,24,1009.5,15,728
"352",27.7,17.1,1014.7,11,653
"353",23.3,12.8,1024.2,11.2,666
"354",34.2,23,1022.2,10.6,693
"355",46.3,40.1,1009.2,13.3,650
"356",39.3,37.3,1009.9,6.9,694
"357",47.1,45.5,999.8,11.3,754
"358",42.1,34.5,1005.3,15.9,675
"360",39.1,34.8,1024.1,8.9,640
"361",38.4,36,1021.6,12.9,627
"362",33.5,27.4,1023.7,17.9,516
"363",33.5,31.1,1008.3,10.6,624
"364",28.8,23.6,1021.9,7.2,603
"365",27,21.3,1023.9,8,611
"367",27,19.4,1019,9.6,576
"368",26.8,19.3,1018.4,11.4,618
"369",26.9,18.5,1028.9,9.5,626
"370",25.5,17,1033.7,8.2,627
"371",28.3,20.9,1026.8,7.5,628
"372",36,26.4,1020.3,6.7,707
"373",38.5,34.2,1012.3,6.6,743
"374",37.1,36.6,1008.3,5.2,650
"375",19,14.2,1012.3,15.8,597
"376",5.1,-1.6,1019,8.7,513
"377",14,7.1,1014.3,14.6,548
"378",6.7,-0.8,1020.3,8.6,654
"379",30.6,23.7,1006.9,7.7,734
"380",39.9,35.4,997.9,11.4,734
"381",28.4,21.3,1008.5,11.9,652
"382",7.5,-3,1017.6,14.2,537
"383",0.6,-9.9,1025.7,12.9,515
"384",5.8,-4.7,1031.4,6.7,610
