"","month","year","temp","dewp","NUM_CRIMES"
"165","Jun",2015,70.2,56.5,728
"166","Jun",2015,70.7,64,784
"167","Jun",2015,63.1,58.8,784
"168","Jun",2015,64,52.1,723
"169","Jun",2015,67.5,51,797
"170","Jun",2015,68.1,61.6,752
"171","Jun",2015,68.1,61.4,749
"172","Jul",2015,60.7,52.7,889
"173","Jul",2015,59.3,51.8,757
"174","Jul",2015,64.2,51.9,768
"175","Jul",2015,69.7,54.4,845
"176","Jul",2015,72.4,58.4,898
"177","Jul",2015,74.2,64.9,757
"178","Jul",2015,67.3,58.1,701
"179","Jul",2015,59.7,50.2,718
"180","Jul",2015,63.6,56,672
"181","Jul",2015,69,56.5,739
"182","Jul",2015,70.4,57.8,798
"183","Jul",2015,73.6,65.6,801
"184","Jul",2015,75.7,68.2,782
"185","Jul",2015,76.2,66.4,711
"186","Jul",2015,65.8,53.1,795
"187","Jul",2015,66,56.4,673
"188","Jul",2015,77.3,70.9,825
"189","Jul",2015,78.7,71.4,776
"190","Jul",2015,79.4,69.6,764
"191","Jul",2015,74.5,62,778
"192","Jul",2015,74.9,58.2,777
"193","Jul",2015,73.6,55.9,774
"194","Jul",2015,74.4,56.6,810
"195","Jul",2015,75.2,60.1,867
"196","Jul",2015,79.5,67.1,832
"197","Jul",2015,74.7,65.5,802
"198","Jul",2015,77.2,64,835
"199","Jul",2015,79.4,66.6,767
"200","Jul",2015,81.3,66,764
"201","Jul",2015,77.1,55.3,775
"202","Jul",2015,78.2,56.4,782
"203","Aug",2015,79.6,65.4,822
"204","Aug",2015,75.7,60.1,729
"205","Aug",2015,72.2,53.5,761
"206","Aug",2015,72.7,55.6,772
"207","Aug",2015,73.3,60.6,809
"208","Aug",2015,73.2,59.3,839
"209","Aug",2015,75.3,62.6,849
"210","Aug",2015,71.8,65.9,745
"211","Aug",2015,75.1,67.7,809
"212","Aug",2015,72.9,62.3,791
"213","Aug",2015,71.2,56.8,760
"214","Aug",2015,73.8,60.4,784
"215","Aug",2015,78.2,66.1,808
"216","Aug",2015,76.6,66.7,826
"217","Aug",2015,78.7,69.1,865
"218","Aug",2015,78.6,67.1,741
"219","Aug",2015,73.6,66.8,762
"220","Aug",2015,71.7,63.2,793
"221","Aug",2015,64.8,52.9,839
"222","Aug",2015,68.7,53,858
"223","Aug",2015,72.1,56.7,845
"224","Aug",2015,71.5,58.6,806
"225","Aug",2015,65,49,724
"226","Aug",2015,63.4,48.2,767
"227","Aug",2015,61.9,52.4,792
"228","Aug",2015,63.1,52.3,764
"229","Aug",2015,65.5,56.8,806
"230","Aug",2015,67.6,63.2,761
"231","Aug",2015,68.4,63.9,800
"232","Aug",2015,71,64.2,745
