"","temp","dewp","max","min","NUM_CRIMES"
"172",73.5,64.7,84,53.1,783
"173",75.2,69.2,84,66,780
"174",75.3,59.3,82.9,66,732
"175",70.2,56.5,82,60.1,728
"176",70.7,64,79,60.1,784
"177",63.1,58.8,79,60.1,784
"178",64,52.1,75.9,55.9,723
"179",67.5,51,79,54,797
"180",68.1,61.6,79,54,752
"181",68.1,61.4,77,62.1,749
"182",60.7,52.7,69.1,55.4,889
"183",59.3,51.8,69.1,53.1,757
"184",64.2,51.9,77,53.1,768
"185",69.7,54.4,81,55,845
"186",72.4,58.4,82.9,59,898
"187",74.2,64.9,84.9,60.1,757
"188",67.3,58.1,84.9,57,701
"189",59.7,50.2,71.1,54,718
"190",63.6,56,77,54,672
"191",69,56.5,82.9,57.9,739
"192",70.4,57.8,82.9,59,798
"193",73.6,65.6,82.9,61,801
"194",75.7,68.2,86,68,782
"195",76.2,66.4,86,68,711
"196",65.8,53.1,82.9,59,795
"197",66,56.4,75,57.9,673
"198",77.3,70.9,91.9,57.9,825
"199",78.7,71.4,91.9,71.1,776
"200",79.4,69.6,89.1,73,764
"201",74.5,62,84.9,63,778
"202",74.9,58.2,84.9,63,777
"203",73.6,55.9,82.9,64,774
"204",74.4,56.6,84.9,63,810
"205",75.2,60.1,84.9,63,867
"206",79.5,67.1,91,64,832
"207",74.7,65.5,91,64,802
"208",77.2,64,88,64,835
"209",79.4,66.6,91,66.9,767
"210",81.3,66,91,66.9,764
"211",77.1,55.3,88,64.9,775
"212",78.2,56.4,88,64.9,782
"213",75.5,54,87.1,64,1044
"214",79.6,65.4,91,64,822
"215",75.7,60.1,91,66.9,729
"216",72.2,53.5,82,61,761
"217",72.7,55.6,82,61,772
"218",73.3,60.6,82.9,61,809
"219",73.2,59.3,82.9,63,839
"220",75.3,62.6,82.9,63,849
"221",71.8,65.9,82,66.9,745
"222",75.1,67.7,84,66.9,809
"223",72.9,62.3,84,64.9,791
"224",71.2,56.8,82,61,760
"225",73.8,60.4,84.9,61,784
"226",78.2,66.1,90,64.9,808
"227",76.6,66.7,91.9,66.9,826
"228",78.7,69.1,91.9,66.9,865
"229",78.6,67.1,89.1,68,741
"230",73.6,66.8,88,66.9,762
"231",71.7,63.2,82.9,66.9,793
"232",64.8,52.9,75,59,839
"233",68.7,53,82,55,858
"234",72.1,56.7,82,55,845
"235",71.5,58.6,81,60.1,806
"236",65,49,77,55,724
"237",63.4,48.2,75,55,767
"238",61.9,52.4,72,55.9,792
