"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","temp","dewp","sndp","NUM_CRIMES"
"73",0,0,0,0,0,0,0,1,0,0,0,0,2015,32.4,21.6,0,656
"74",0,0,0,0,0,0,0,1,0,0,0,0,2015,29.1,23.9,5.1,592
"75",0,0,0,0,0,0,0,1,0,0,0,0,2015,29.7,20.6,3.9,639
"76",0,0,0,0,0,0,0,1,0,0,0,0,2015,36.6,31.4,2,724
"77",0,0,0,0,0,0,0,1,0,0,0,0,2015,36.7,27.5,2,684
"78",0,0,0,0,0,0,0,1,0,0,0,0,2015,29,15.6,1.2,725
"79",0,0,0,0,0,0,0,1,0,0,0,0,2015,26.8,11.3,1.2,657
"80",0,0,0,0,0,0,0,1,0,0,0,0,2015,31.6,18.6,0,619
"81",0,0,0,0,0,0,0,1,0,0,0,0,2015,46,30.5,0,719
"82",0,0,0,0,0,0,0,1,0,0,0,0,2015,48.7,35.2,0,693
"83",1,0,0,0,0,0,0,0,0,0,0,0,2015,51.9,35.1,0,929
"84",1,0,0,0,0,0,0,0,0,0,0,0,2015,58.5,42.9,0,794
"85",1,0,0,0,0,0,0,0,0,0,0,0,2015,50.1,30.9,0,710
"86",1,0,0,0,0,0,0,0,0,0,0,0,2015,39.7,23.1,0,694
"87",1,0,0,0,0,0,0,0,0,0,0,0,2015,53.5,23.8,0,673
"88",1,0,0,0,0,0,0,0,0,0,0,0,2015,45.5,34.5,0,676
"89",1,0,0,0,0,0,0,0,0,0,0,0,2015,40.4,35.9,0,603
"90",1,0,0,0,0,0,0,0,0,0,0,0,2015,44.5,42.2,0,679
"91",1,0,0,0,0,0,0,0,0,0,0,0,2015,50.5,48.2,0,648
"92",1,0,0,0,0,0,0,0,0,0,0,0,2015,52.6,41.8,0,714
"93",1,0,0,0,0,0,0,0,0,0,0,0,2015,47.7,33.4,0,720
"94",1,0,0,0,0,0,0,0,0,0,0,0,2015,54.7,32.7,0,773
"95",1,0,0,0,0,0,0,0,0,0,0,0,2015,60.1,40.3,0,735
"96",1,0,0,0,0,0,0,0,0,0,0,0,2015,55.8,24.5,0,767
"97",1,0,0,0,0,0,0,0,0,0,0,0,2015,54,24.6,0,802
"98",1,0,0,0,0,0,0,0,0,0,0,0,2015,52.9,35.9,0,688
"99",1,0,0,0,0,0,0,0,0,0,0,0,2015,60.2,44.3,0,785
"100",1,0,0,0,0,0,0,0,0,0,0,0,2015,59.6,42.6,0,769
"101",1,0,0,0,0,0,0,0,0,0,0,0,2015,55.6,34.7,0,703
"102",1,0,0,0,0,0,0,0,0,0,0,0,2015,48.6,44.4,0,743
"103",1,0,0,0,0,0,0,0,0,0,0,0,2015,44.3,29,0,663
"104",1,0,0,0,0,0,0,0,0,0,0,0,2015,39.7,23.7,0,682
"105",1,0,0,0,0,0,0,0,0,0,0,0,2015,42.3,21.3,0,731
"106",1,0,0,0,0,0,0,0,0,0,0,0,2015,44.2,23,0,761
"107",1,0,0,0,0,0,0,0,0,0,0,0,2015,43.5,37.2,0,695
"108",1,0,0,0,0,0,0,0,0,0,0,0,2015,44.8,28.7,0,718
"109",1,0,0,0,0,0,0,0,0,0,0,0,2015,46.3,30.2,0,721
"110",1,0,0,0,0,0,0,0,0,0,0,0,2015,46.3,33.7,0,719
"111",1,0,0,0,0,0,0,0,0,0,0,0,2015,49.7,34.3,0,766
"112",1,0,0,0,0,0,0,0,0,0,0,0,2015,45.6,33.9,0,666
"113",0,0,0,0,0,0,0,0,1,0,0,0,2015,62.1,38.1,0,687
"114",0,0,0,0,0,0,0,0,1,0,0,0,2015,67.4,42.6,0,745
"115",0,0,0,0,0,0,0,0,1,0,0,0,2015,65.1,54.6,0,779
"116",0,0,0,0,0,0,0,0,1,0,0,0,2015,52.1,45.6,0,697
"117",0,0,0,0,0,0,0,0,1,0,0,0,2015,55.6,50.9,0,739
"118",0,0,0,0,0,0,0,0,1,0,0,0,2015,66.9,52,0,826
"119",0,0,0,0,0,0,0,0,1,0,0,0,2015,71.1,60.7,0,807
"120",0,0,0,0,0,0,0,0,1,0,0,0,2015,59.5,56.2,0,685
"121",0,0,0,0,0,0,0,0,1,0,0,0,2015,48.5,45.8,0,741
"122",0,0,0,0,0,0,0,0,1,0,0,0,2015,56.4,52.7,0,749
"123",0,0,0,0,0,0,0,0,1,0,0,0,2015,52,39.5,0,757
"124",0,0,0,0,0,0,0,0,1,0,0,0,2015,47.6,34.7,0,768
"125",0,0,0,0,0,0,0,0,1,0,0,0,2015,52.2,38.8,0,755
"126",0,0,0,0,0,0,0,0,1,0,0,0,2015,63.2,56.8,0,822
"127",0,0,0,0,0,0,0,0,1,0,0,0,2015,69,62.5,0,882
"128",0,0,0,0,0,0,0,0,1,0,0,0,2015,72.3,65,0,836
"129",0,0,0,0,0,0,0,0,1,0,0,0,2015,72.1,58.3,0,758
"130",0,0,0,0,0,0,0,0,1,0,0,0,2015,50.4,36.9,0,708
"131",0,0,0,0,0,0,0,0,1,0,0,0,2015,43.5,30.2,0,730
"132",0,0,0,0,0,0,0,0,1,0,0,0,2015,51.8,37.7,0,745
"133",0,0,0,0,0,0,0,0,1,0,0,0,2015,58.8,35.1,0,824
"134",0,0,0,0,0,0,0,0,1,0,0,0,2015,61.8,35.6,0,798
"135",0,0,0,0,0,0,0,0,1,0,0,0,2015,66.1,49.3,0,687
"136",0,0,0,0,0,0,0,0,1,0,0,0,2015,70.4,62.1,0,708
"137",0,0,0,0,0,0,0,0,1,0,0,0,2015,70.6,62.5,0,770
"138",0,0,0,0,0,0,0,0,1,0,0,0,2015,68.4,59.1,0,738
"139",0,0,0,0,0,0,0,0,1,0,0,0,2015,69.5,54.3,0,800
"140",0,0,0,0,0,0,0,0,1,0,0,0,2015,72.1,60.3,0,828
