crime_date,NUM_CRIMES
2015-01-01,1234
2015-01-02,674
2015-01-03,648
2015-01-04,514
2015-01-05,523
2015-01-06,503
2015-01-07,474
2015-01-08,448
2015-01-09,590
2015-01-10,647
2015-01-11,650
2015-01-12,607
2015-01-13,612
2015-01-14,675
2015-01-15,763
2015-01-16,710
2015-01-17,741
2015-01-18,698
2015-01-19,709
2015-01-20,793
2015-01-21,746
2015-01-22,752
2015-01-23,800
2015-01-24,756
2015-01-25,646
2015-01-26,656
2015-01-27,675
2015-01-28,647
2015-01-29,704
2015-01-30,714
2015-01-31,636
2015-02-01,562
2015-02-02,473
2015-02-03,512
2015-02-04,577
2015-02-05,572
2015-02-06,696
2015-02-07,679
2015-02-08,615
2015-02-09,607
2015-02-10,629
2015-02-11,606
2015-02-12,611
2015-02-13,632
2015-02-14,597
2015-02-15,552
2015-02-16,539
2015-02-17,597
2015-02-18,511
2015-02-19,463
2015-02-20,651
2015-02-21,652
2015-02-22,593
2015-02-23,572
2015-02-24,628
2015-02-25,572
2015-02-26,518
2015-02-27,638
2015-02-28,545
2015-03-01,759
2015-03-02,658
2015-03-03,636
2015-03-04,562
2015-03-05,612
2015-03-06,712
2015-03-07,697
2015-03-08,625
2015-03-09,726
2015-03-10,754
2015-03-11,746
2015-03-12,752
2015-03-13,814
2015-03-14,798
2015-03-15,779
2015-03-16,779
2015-03-17,692
2015-03-18,690
2015-03-19,717
2015-03-20,777
2015-03-21,689
2015-03-22,656
2015-03-23,592
2015-03-24,639
2015-03-25,724
2015-03-26,684
2015-03-27,725
2015-03-28,657
2015-03-29,619
2015-03-30,719
2015-03-31,693
2015-04-01,929
2015-04-02,794
2015-04-03,710
2015-04-04,694
2015-04-05,673
2015-04-06,676
2015-04-07,603
2015-04-08,679
2015-04-09,648
2015-04-10,714
2015-04-11,720
2015-04-12,773
2015-04-13,735
2015-04-14,767
2015-04-15,802
2015-04-16,688
2015-04-17,785
2015-04-18,769
2015-04-19,703
2015-04-20,743
2015-04-21,663
2015-04-22,682
2015-04-23,731
2015-04-24,761
2015-04-25,695
2015-04-26,718
2015-04-27,721
2015-04-28,719
2015-04-29,766
2015-04-30,666
2015-05-01,954
2015-05-02,687
2015-05-03,745
2015-05-04,779
2015-05-05,697
2015-05-06,739
2015-05-07,826
2015-05-08,807
2015-05-09,685
2015-05-10,741
2015-05-11,749
2015-05-12,757
2015-05-13,768
2015-05-14,755
2015-05-15,822
2015-05-16,882
2015-05-17,836
2015-05-18,758
2015-05-19,708
