"","month","year","temp","dewp","sndp","NUM_CRIMES"
"145","Jun",2015,68.2,56.7,0,721
"146","Jun",2015,65.3,56.7,0,786
"147","Jun",2015,60.1,50,0,758
"148","Jun",2015,65.7,57.7,0,739
"149","Jun",2015,73.1,63.8,0,682
"150","Jun",2015,69.7,56.2,0,732
"151","Jun",2015,80.2,62.3,0,793
"152","Jun",2015,68.9,57,0,804
"153","Jun",2015,61.5,59,0,828
"154","Jun",2015,66.1,60.5,0,813
"155","Jun",2015,73.3,67.9,0,795
"156","Jun",2015,74.8,69.9,0,739
"157","Jun",2015,68.6,58.7,0,847
"158","Jun",2015,61.3,51,0,722
"159","Jun",2015,71.6,65.4,0,768
"160","Jun",2015,60.8,50.8,0,774
"161","Jun",2015,62.8,53.5,0,766
"162","Jun",2015,73.5,64.7,0,783
"163","Jun",2015,75.2,69.2,0,780
"164","Jun",2015,75.3,59.3,0,732
"165","Jun",2015,70.2,56.5,0,728
"166","Jun",2015,70.7,64,0,784
"167","Jun",2015,63.1,58.8,0,784
"168","Jun",2015,64,52.1,0,723
"169","Jun",2015,67.5,51,0,797
"170","Jun",2015,68.1,61.6,0,752
"171","Jun",2015,68.1,61.4,0,749
"172","Jul",2015,60.7,52.7,0,889
"173","Jul",2015,59.3,51.8,0,757
"174","Jul",2015,64.2,51.9,0,768
"175","Jul",2015,69.7,54.4,0,845
"176","Jul",2015,72.4,58.4,0,898
"177","Jul",2015,74.2,64.9,0,757
"178","Jul",2015,67.3,58.1,0,701
"179","Jul",2015,59.7,50.2,0,718
"180","Jul",2015,63.6,56,0,672
"181","Jul",2015,69,56.5,0,739
"182","Jul",2015,70.4,57.8,0,798
"183","Jul",2015,73.6,65.6,0,801
"184","Jul",2015,75.7,68.2,0,782
"185","Jul",2015,76.2,66.4,0,711
"186","Jul",2015,65.8,53.1,0,795
"187","Jul",2015,66,56.4,0,673
"188","Jul",2015,77.3,70.9,0,825
"189","Jul",2015,78.7,71.4,0,776
"190","Jul",2015,79.4,69.6,0,764
"191","Jul",2015,74.5,62,0,778
"192","Jul",2015,74.9,58.2,0,777
"193","Jul",2015,73.6,55.9,0,774
"194","Jul",2015,74.4,56.6,0,810
"195","Jul",2015,75.2,60.1,0,867
"196","Jul",2015,79.5,67.1,0,832
"197","Jul",2015,74.7,65.5,0,802
"198","Jul",2015,77.2,64,0,835
"199","Jul",2015,79.4,66.6,0,767
"200","Jul",2015,81.3,66,0,764
"201","Jul",2015,77.1,55.3,0,775
"202","Jul",2015,78.2,56.4,0,782
"203","Aug",2015,79.6,65.4,0,822
"204","Aug",2015,75.7,60.1,0,729
"205","Aug",2015,72.2,53.5,0,761
"206","Aug",2015,72.7,55.6,0,772
"207","Aug",2015,73.3,60.6,0,809
"208","Aug",2015,73.2,59.3,0,839
"209","Aug",2015,75.3,62.6,0,849
"210","Aug",2015,71.8,65.9,0,745
"211","Aug",2015,75.1,67.7,0,809
"212","Aug",2015,72.9,62.3,0,791
"213","Aug",2015,71.2,56.8,0,760
"214","Aug",2015,73.8,60.4,0,784
"215","Aug",2015,78.2,66.1,0,808
"216","Aug",2015,76.6,66.7,0,826
"217","Aug",2015,78.7,69.1,0,865
"218","Aug",2015,78.6,67.1,0,741
"219","Aug",2015,73.6,66.8,0,762
"220","Aug",2015,71.7,63.2,0,793
"221","Aug",2015,64.8,52.9,0,839
"222","Aug",2015,68.7,53,0,858
"223","Aug",2015,72.1,56.7,0,845
"224","Aug",2015,71.5,58.6,0,806
"225","Aug",2015,65,49,0,724
"226","Aug",2015,63.4,48.2,0,767
"227","Aug",2015,61.9,52.4,0,792
"228","Aug",2015,63.1,52.3,0,764
"229","Aug",2015,65.5,56.8,0,806
"230","Aug",2015,67.6,63.2,0,761
"231","Aug",2015,68.4,63.9,0,800
"232","Aug",2015,71,64.2,0,745
"233","Sep",2015,80.3,69.4,0,801
"234","Sep",2015,81,68.3,0,875
"235","Sep",2015,74.4,66.8,0,815
"236","Sep",2015,75.4,67.3,0,767
"237","Sep",2015,79.9,66.6,0,818
"238","Sep",2015,81.5,66.9,0,808
"239","Sep",2015,77,69.6,0,717
"240","Sep",2015,70.2,60.4,0,711
"241","Sep",2015,64,56,0,659
"242","Sep",2015,61.9,56.5,0,691
"243","Sep",2015,57.6,45.8,0,724
"244","Sep",2015,58.1,44.5,0,734
"245","Sep",2015,65.3,48.8,0,791
"246","Sep",2015,72.9,53.9,0,813
"247","Sep",2015,70.5,52.8,0,766
"248","Sep",2015,71.7,58.5,0,717
"249","Sep",2015,72,67.2,0,791
"250","Sep",2015,65.5,57.4,0,792
"251","Sep",2015,60.4,48.6,0,811
"252","Sep",2015,62.1,49.4,0,735
"253","Sep",2015,64.6,51.5,0,777
"254","Sep",2015,68.2,52.1,0,833
"255","Sep",2015,66.7,56.6,0,718
"256","Sep",2015,65.5,59.6,0,811
"257","Sep",2015,67,58.5,0,792
"258","Sep",2015,67.4,59.5,0,802
"259","Sep",2015,69.6,63.6,0,753
"260","Sep",2015,64.4,59.6,0,670
"261","Sep",2015,56.7,44.1,0,678
"262","Oct",2015,55.2,42.4,0,889
"263","Oct",2015,55,41.7,0,799
"264","Oct",2015,52.1,39.6,0,709
"265","Oct",2015,51.9,47.4,0,654
"266","Oct",2015,57,53.8,0,755
"267","Oct",2015,60.2,53.8,0,752
"268","Oct",2015,62,54.9,0,718
"269","Oct",2015,61.7,52.4,0,701
"270","Oct",2015,60.4,52.1,0,795
"271","Oct",2015,53.2,43.7,0,729
