"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","temp","dewp","NUM_CRIMES"
"80",0,0,0,0,0,0,0,1,0,0,0,0,2015,31.6,18.6,619
"81",0,0,0,0,0,0,0,1,0,0,0,0,2015,46,30.5,719
"82",0,0,0,0,0,0,0,1,0,0,0,0,2015,48.7,35.2,693
"83",1,0,0,0,0,0,0,0,0,0,0,0,2015,51.9,35.1,929
"84",1,0,0,0,0,0,0,0,0,0,0,0,2015,58.5,42.9,794
"85",1,0,0,0,0,0,0,0,0,0,0,0,2015,50.1,30.9,710
"86",1,0,0,0,0,0,0,0,0,0,0,0,2015,39.7,23.1,694
"87",1,0,0,0,0,0,0,0,0,0,0,0,2015,53.5,23.8,673
"88",1,0,0,0,0,0,0,0,0,0,0,0,2015,45.5,34.5,676
"89",1,0,0,0,0,0,0,0,0,0,0,0,2015,40.4,35.9,603
"90",1,0,0,0,0,0,0,0,0,0,0,0,2015,44.5,42.2,679
"91",1,0,0,0,0,0,0,0,0,0,0,0,2015,50.5,48.2,648
"92",1,0,0,0,0,0,0,0,0,0,0,0,2015,52.6,41.8,714
"93",1,0,0,0,0,0,0,0,0,0,0,0,2015,47.7,33.4,720
"94",1,0,0,0,0,0,0,0,0,0,0,0,2015,54.7,32.7,773
"95",1,0,0,0,0,0,0,0,0,0,0,0,2015,60.1,40.3,735
"96",1,0,0,0,0,0,0,0,0,0,0,0,2015,55.8,24.5,767
"97",1,0,0,0,0,0,0,0,0,0,0,0,2015,54,24.6,802
"98",1,0,0,0,0,0,0,0,0,0,0,0,2015,52.9,35.9,688
"99",1,0,0,0,0,0,0,0,0,0,0,0,2015,60.2,44.3,785
"100",1,0,0,0,0,0,0,0,0,0,0,0,2015,59.6,42.6,769
"101",1,0,0,0,0,0,0,0,0,0,0,0,2015,55.6,34.7,703
"102",1,0,0,0,0,0,0,0,0,0,0,0,2015,48.6,44.4,743
"103",1,0,0,0,0,0,0,0,0,0,0,0,2015,44.3,29,663
"104",1,0,0,0,0,0,0,0,0,0,0,0,2015,39.7,23.7,682
"105",1,0,0,0,0,0,0,0,0,0,0,0,2015,42.3,21.3,731
"106",1,0,0,0,0,0,0,0,0,0,0,0,2015,44.2,23,761
"107",1,0,0,0,0,0,0,0,0,0,0,0,2015,43.5,37.2,695
"108",1,0,0,0,0,0,0,0,0,0,0,0,2015,44.8,28.7,718
"109",1,0,0,0,0,0,0,0,0,0,0,0,2015,46.3,30.2,721
"110",1,0,0,0,0,0,0,0,0,0,0,0,2015,46.3,33.7,719
"111",1,0,0,0,0,0,0,0,0,0,0,0,2015,49.7,34.3,766
"112",1,0,0,0,0,0,0,0,0,0,0,0,2015,45.6,33.9,666
"113",0,0,0,0,0,0,0,0,1,0,0,0,2015,62.1,38.1,687
"114",0,0,0,0,0,0,0,0,1,0,0,0,2015,67.4,42.6,745
"115",0,0,0,0,0,0,0,0,1,0,0,0,2015,65.1,54.6,779
"116",0,0,0,0,0,0,0,0,1,0,0,0,2015,52.1,45.6,697
"117",0,0,0,0,0,0,0,0,1,0,0,0,2015,55.6,50.9,739
"118",0,0,0,0,0,0,0,0,1,0,0,0,2015,66.9,52,826
"119",0,0,0,0,0,0,0,0,1,0,0,0,2015,71.1,60.7,807
"120",0,0,0,0,0,0,0,0,1,0,0,0,2015,59.5,56.2,685
"121",0,0,0,0,0,0,0,0,1,0,0,0,2015,48.5,45.8,741
"122",0,0,0,0,0,0,0,0,1,0,0,0,2015,56.4,52.7,749
"123",0,0,0,0,0,0,0,0,1,0,0,0,2015,52,39.5,757
"124",0,0,0,0,0,0,0,0,1,0,0,0,2015,47.6,34.7,768
"125",0,0,0,0,0,0,0,0,1,0,0,0,2015,52.2,38.8,755
"126",0,0,0,0,0,0,0,0,1,0,0,0,2015,63.2,56.8,822
"127",0,0,0,0,0,0,0,0,1,0,0,0,2015,69,62.5,882
"128",0,0,0,0,0,0,0,0,1,0,0,0,2015,72.3,65,836
"129",0,0,0,0,0,0,0,0,1,0,0,0,2015,72.1,58.3,758
"130",0,0,0,0,0,0,0,0,1,0,0,0,2015,50.4,36.9,708
"131",0,0,0,0,0,0,0,0,1,0,0,0,2015,43.5,30.2,730
"132",0,0,0,0,0,0,0,0,1,0,0,0,2015,51.8,37.7,745
"133",0,0,0,0,0,0,0,0,1,0,0,0,2015,58.8,35.1,824
"134",0,0,0,0,0,0,0,0,1,0,0,0,2015,61.8,35.6,798
"135",0,0,0,0,0,0,0,0,1,0,0,0,2015,66.1,49.3,687
"136",0,0,0,0,0,0,0,0,1,0,0,0,2015,70.4,62.1,708
"137",0,0,0,0,0,0,0,0,1,0,0,0,2015,70.6,62.5,770
"138",0,0,0,0,0,0,0,0,1,0,0,0,2015,68.4,59.1,738
"139",0,0,0,0,0,0,0,0,1,0,0,0,2015,69.5,54.3,800
"140",0,0,0,0,0,0,0,0,1,0,0,0,2015,72.1,60.3,828
"141",0,0,0,0,0,0,0,0,1,0,0,0,2015,64.4,58.8,719
"142",0,0,0,0,0,0,0,0,1,0,0,0,2015,47.5,39.5,666
"143",0,0,0,0,0,0,1,0,0,0,0,0,2015,55.5,40.1,772
"144",0,0,0,0,0,0,1,0,0,0,0,0,2015,62.3,49.2,778
"145",0,0,0,0,0,0,1,0,0,0,0,0,2015,68.2,56.7,721
"146",0,0,0,0,0,0,1,0,0,0,0,0,2015,65.3,56.7,786
"147",0,0,0,0,0,0,1,0,0,0,0,0,2015,60.1,50,758
"148",0,0,0,0,0,0,1,0,0,0,0,0,2015,65.7,57.7,739
"149",0,0,0,0,0,0,1,0,0,0,0,0,2015,73.1,63.8,682
"150",0,0,0,0,0,0,1,0,0,0,0,0,2015,69.7,56.2,732
"151",0,0,0,0,0,0,1,0,0,0,0,0,2015,80.2,62.3,793
"152",0,0,0,0,0,0,1,0,0,0,0,0,2015,68.9,57,804
"153",0,0,0,0,0,0,1,0,0,0,0,0,2015,61.5,59,828
"154",0,0,0,0,0,0,1,0,0,0,0,0,2015,66.1,60.5,813
"155",0,0,0,0,0,0,1,0,0,0,0,0,2015,73.3,67.9,795
"156",0,0,0,0,0,0,1,0,0,0,0,0,2015,74.8,69.9,739
"157",0,0,0,0,0,0,1,0,0,0,0,0,2015,68.6,58.7,847
"158",0,0,0,0,0,0,1,0,0,0,0,0,2015,61.3,51,722
"159",0,0,0,0,0,0,1,0,0,0,0,0,2015,71.6,65.4,768
"160",0,0,0,0,0,0,1,0,0,0,0,0,2015,60.8,50.8,774
"161",0,0,0,0,0,0,1,0,0,0,0,0,2015,62.8,53.5,766
"162",0,0,0,0,0,0,1,0,0,0,0,0,2015,73.5,64.7,783
"163",0,0,0,0,0,0,1,0,0,0,0,0,2015,75.2,69.2,780
"164",0,0,0,0,0,0,1,0,0,0,0,0,2015,75.3,59.3,732
"165",0,0,0,0,0,0,1,0,0,0,0,0,2015,70.2,56.5,728
"166",0,0,0,0,0,0,1,0,0,0,0,0,2015,70.7,64,784
"167",0,0,0,0,0,0,1,0,0,0,0,0,2015,63.1,58.8,784
"168",0,0,0,0,0,0,1,0,0,0,0,0,2015,64,52.1,723
"169",0,0,0,0,0,0,1,0,0,0,0,0,2015,67.5,51,797
"170",0,0,0,0,0,0,1,0,0,0,0,0,2015,68.1,61.6,752
"171",0,0,0,0,0,0,1,0,0,0,0,0,2015,68.1,61.4,749
"172",0,0,0,0,0,1,0,0,0,0,0,0,2015,60.7,52.7,889
"173",0,0,0,0,0,1,0,0,0,0,0,0,2015,59.3,51.8,757
"174",0,0,0,0,0,1,0,0,0,0,0,0,2015,64.2,51.9,768
"175",0,0,0,0,0,1,0,0,0,0,0,0,2015,69.7,54.4,845
"176",0,0,0,0,0,1,0,0,0,0,0,0,2015,72.4,58.4,898
"177",0,0,0,0,0,1,0,0,0,0,0,0,2015,74.2,64.9,757
"178",0,0,0,0,0,1,0,0,0,0,0,0,2015,67.3,58.1,701
"179",0,0,0,0,0,1,0,0,0,0,0,0,2015,59.7,50.2,718
"180",0,0,0,0,0,1,0,0,0,0,0,0,2015,63.6,56,672
"181",0,0,0,0,0,1,0,0,0,0,0,0,2015,69,56.5,739
"182",0,0,0,0,0,1,0,0,0,0,0,0,2015,70.4,57.8,798
"183",0,0,0,0,0,1,0,0,0,0,0,0,2015,73.6,65.6,801
"184",0,0,0,0,0,1,0,0,0,0,0,0,2015,75.7,68.2,782
"185",0,0,0,0,0,1,0,0,0,0,0,0,2015,76.2,66.4,711
"186",0,0,0,0,0,1,0,0,0,0,0,0,2015,65.8,53.1,795
"187",0,0,0,0,0,1,0,0,0,0,0,0,2015,66,56.4,673
"188",0,0,0,0,0,1,0,0,0,0,0,0,2015,77.3,70.9,825
"189",0,0,0,0,0,1,0,0,0,0,0,0,2015,78.7,71.4,776
"190",0,0,0,0,0,1,0,0,0,0,0,0,2015,79.4,69.6,764
"191",0,0,0,0,0,1,0,0,0,0,0,0,2015,74.5,62,778
"192",0,0,0,0,0,1,0,0,0,0,0,0,2015,74.9,58.2,777
"193",0,0,0,0,0,1,0,0,0,0,0,0,2015,73.6,55.9,774
"194",0,0,0,0,0,1,0,0,0,0,0,0,2015,74.4,56.6,810
"195",0,0,0,0,0,1,0,0,0,0,0,0,2015,75.2,60.1,867
"196",0,0,0,0,0,1,0,0,0,0,0,0,2015,79.5,67.1,832
"197",0,0,0,0,0,1,0,0,0,0,0,0,2015,74.7,65.5,802
"198",0,0,0,0,0,1,0,0,0,0,0,0,2015,77.2,64,835
"199",0,0,0,0,0,1,0,0,0,0,0,0,2015,79.4,66.6,767
"200",0,0,0,0,0,1,0,0,0,0,0,0,2015,81.3,66,764
"201",0,0,0,0,0,1,0,0,0,0,0,0,2015,77.1,55.3,775
